id,domain,review_bucket,status,codex,doubao,kimi,sentence
1897-s0001,人工智能招聘,must_human_split,span_mismatch,大专/K | 高中/K,大专以上学历/K,[],（可在项目经理的带领下共同完成）任职资格：1、大专以上学历（能力突出可降低至高中），年龄在18-28岁之间；
1909-s0004,人工智能招聘,must_human_split,span_mismatch,沟通能力/T | 解决问题/S,沟通能力/T | 独立思考/T,沟通能力/T | 独立思考/T | 解决问题/T, 5、具有良好的表达与沟通能力以及独立思考并解决问题的能力。
1908-s0006,人工智能招聘,must_human_split,span_mismatch,云计算/K | 阿里云/K,云计算平台/K | 华为云/K | 阿里云/K,云计算平台/K | 华为云/S | 阿里云/S,4、熟悉云计算平台，如华为云、阿里云等；
1960-s0000,阿里云公开数据集,must_human_split,empty_mismatch,[],新项目洽谈/S | 技术需求方案编写/S,系统集成/S | 技术需求方案编写/S,"['岗位职责：', '1、协助负责系统集成项目售前售中工作：新项目洽谈、技术需求方案编写；"
1836-s0001,人工智能招聘,must_human_split,span_mismatch,技术架构/K,技术难题攻关/S | 平台技术架构设计/S,技术难题攻关/S | 技术架构设计/S | 重构/S, 2、参与技术难题攻关，负责/参与平台技术架构设计、重构；
1846-s0010,人工智能招聘,must_human_split,empty_mismatch,大数据/K | Hadoop/S | Spark/S | 机器学习/K | 深度学习/K | 强化学习/K | 图像识别/K | 搜索引擎/K | 自然语言处理/K,[],Hadoop/S | Spark/S | 机器学习/K | 深度学习/K | 强化学习/K | 图像识别/K | 搜索引擎/K | 自然语言处理/K,"基于日渐成熟的大数据技术（例如：Hadoop, Spark, 机器学习，深度学习、强化学习、图像识别，搜索引擎和自然语言处理等）挖掘数据内部的价值 核心产品反欺诈SaaS云服务：Data-R 风险决策系统、Data-X垃圾文本识别引擎、Data-M垃圾图片识别引擎、Data-V欺诈账户识别引擎。"
1863-s0001,人工智能招聘,must_human_split,empty_mismatch,[],信息系统建设/S | 商业信息系统稳定运行/S,信息系统建设/S | 管理/S | 维护/S, 2、 负责集团信息系统建设、管理和维护，确保商业信息系统稳定运行；
1921-s0001,人工智能招聘,must_human_split,span_mismatch,运维/S | 软件工程/K | 落地/S,DevOps/S | 日志监控/S | 软件工程方法/K,DevOps/S | 日志监控/S | 研发/S | 运维/S | 软件工程方法/K | 流程和规范/K, 2. 负责DevOps、日志监控等研发效率平台的研发和运维 3. 推动优秀软件工程方法、流程和规范在团队落地；
1969-s0002,阿里云公开数据集,must_human_split,span_mismatch,计划/T | 重点/S,测试流程/K,测试用例/S | 测试用数据/S,"', ' 3、按照测试流程、计划，沟通确认测试的范围、重点，策划、编写测试用例，设计测试用数据及预期结果，做好测试前的准备工作，确保测试目的的达成。"
1865-s0001,人工智能招聘,must_human_split,span_mismatch,web mvc框架/S | JSP/S | Servlet/S | JavaScript/S | Ajax/S | Jquery/S | 开发/S | spring/S | Spring/S,web mvc框架/S | JSP/S | Servlet/S | JavaScript/S | Ajax/S | Jquery/S | WEB开发技术/K | spring/S | Spring MVC/S | Struts2/S | ibatis/S | 开发框架/K,web mvc框架/S | JSP/Servlet/S | JavaScript/S | Ajax/S | Jquery/S | WEB开发技术/S | spring/S | Spring MVC/S | Struts2/S | ibatis/S | 开发框架/S, 6. 精通web mvc框架，熟悉JSP/Servlet、JavaScript、Ajax、Jquery等WEB开发技术，熟悉spring，Spring MVC（Struts2）和ibatis等主流的开发框架；
