run,length_bin,gold_spans,sentences,tp,recall
no_adapter,<=4,346,102,92,0.2658959537572254
no_adapter,5-8,243,110,72,0.2962962962962963
no_adapter,>=9,74,56,22,0.2972972972972973
LoRA_42,<=4,346,102,133,0.38439306358381503
LoRA_42,5-8,243,110,110,0.45267489711934156
LoRA_42,>=9,74,56,45,0.6081081081081081
LoRA_43,<=4,346,102,158,0.45664739884393063
LoRA_43,5-8,243,110,130,0.5349794238683128
LoRA_43,>=9,74,56,48,0.6486486486486487
LoRA_44,<=4,346,102,157,0.45375722543352603
LoRA_44,5-8,243,110,129,0.5308641975308642
LoRA_44,>=9,74,56,45,0.6081081081081081
