dataset,id,rule_family,status,text_sha256
gold150,1801-s0004,coordination,candidate_requires_context_review,7044772dca67500c91b4719487202e66951580c9fc7c16341d5e83ca752eb8d8
gold150,1802-s0000,coordination,candidate_requires_context_review,16d0fca531a14986042a7a5eaee3f14c62a1e287687146f7e5417ad71e871c86
gold150,1802-s0005,coordination,candidate_requires_context_review,7af344c17f680c023bc60113e0cdd3df03f4f7bd27087fac8cffe96fff409b9f
gold150,1802-s0006,coordination,candidate_requires_context_review,920341169d104b2fe1e120bd0533f56ffa23fd8dc732bb410bd19b6b9d9eba76
gold150,1802-s0007,experience,candidate_requires_context_review,d2ee96f90d3671fb28e4f70b837fe7e723221ae304cf9ed9eb4d9e5ac980024e
gold150,1802-s0007,coordination,candidate_requires_context_review,d2ee96f90d3671fb28e4f70b837fe7e723221ae304cf9ed9eb4d9e5ac980024e
gold150,1802-s0007,tool_theory,candidate_requires_context_review,d2ee96f90d3671fb28e4f70b837fe7e723221ae304cf9ed9eb4d9e5ac980024e
gold150,1802-s0008,experience,candidate_requires_context_review,c76be1f6f6a3909d9d58122f31cc4bd60f76ec25ee7d59a8aaaf8c60a60cc5fb
gold150,1802-s0008,coordination,candidate_requires_context_review,c76be1f6f6a3909d9d58122f31cc4bd60f76ec25ee7d59a8aaaf8c60a60cc5fb
gold150,1802-s0008,transversal,candidate_requires_context_review,c76be1f6f6a3909d9d58122f31cc4bd60f76ec25ee7d59a8aaaf8c60a60cc5fb
gold150,1802-s0017,coordination,candidate_requires_context_review,4a78a0546b8756e3ef38f539663578ff8daf0f7f7fff041e72918d990c8756c1
gold150,1802-s0017,transversal,candidate_requires_context_review,4a78a0546b8756e3ef38f539663578ff8daf0f7f7fff041e72918d990c8756c1
gold150,1803-s0000,coordination,candidate_requires_context_review,06198e132e84577432f4d5b45e0290f22ed507b37f12463e7f632d5973bb3c4c
gold150,1803-s0001,coordination,candidate_requires_context_review,835700955899af2b5dada70317e80e92d9565c34414d1330cb927be2e6b1a87d
gold150,1803-s0002,coordination,candidate_requires_context_review,81a9e7e3079c065ac831bd837e4e8e86ebc9aa99de94636f637e93ed260fc887
gold150,1803-s0003,coordination,candidate_requires_context_review,71ea53eedbc17c0bc7034ce9a94f7172f921ddf377133d729a466a3d3e8a59ec
gold150,1803-s0004,coordination,candidate_requires_context_review,827b761bc15aeafbb894bc4964f60e83a1cc516542e659e5beed240ca357f4a7
gold150,1803-s0006,experience,candidate_requires_context_review,56df72bd3d73df351ecbd2cb6e8198a4245e9ba27701358e339f37b65eb228e7
gold150,1803-s0006,coordination,candidate_requires_context_review,56df72bd3d73df351ecbd2cb6e8198a4245e9ba27701358e339f37b65eb228e7
gold150,1803-s0007,experience,candidate_requires_context_review,4a1fd3b729c4d95248dcaa45d9abccce146f75c8abace8da4a1f6cdd7acc2956
gold150,1803-s0007,coordination,candidate_requires_context_review,4a1fd3b729c4d95248dcaa45d9abccce146f75c8abace8da4a1f6cdd7acc2956
gold150,1803-s0008,coordination,candidate_requires_context_review,762abc1599114279253e8792abed898dd0c37d2dbf71ca62cca13abfb7f5a447
gold150,1803-s0008,transversal,candidate_requires_context_review,762abc1599114279253e8792abed898dd0c37d2dbf71ca62cca13abfb7f5a447
gold150,1804-s0001,coordination,candidate_requires_context_review,c1804a625d69d6d32493f5770939102b6130659013d98a31920afb8057bf153a
gold150,1804-s0003,coordination,candidate_requires_context_review,9cc4ffe9c875da71a365fdb6f8f225780a3d1600e5e4ca3b8e2e5c6b934f175f
gold150,1804-s0004,coordination,candidate_requires_context_review,8e6de97c382a3d2b1217bc7e0ff5bb7c25c62717252062da33abce7d2f20e047
gold150,1804-s0005,coordination,candidate_requires_context_review,5feda2500f95b0a4598c972a0f0990ecbbace9b73b9ee072e8e4b35f19074fad
gold150,1804-s0005,tool_theory,candidate_requires_context_review,5feda2500f95b0a4598c972a0f0990ecbbace9b73b9ee072e8e4b35f19074fad
gold150,1804-s0005,transversal,candidate_requires_context_review,5feda2500f95b0a4598c972a0f0990ecbbace9b73b9ee072e8e4b35f19074fad
gold150,1804-s0006,experience,candidate_requires_context_review,4d2c2de1655aa2a0968de49bb7a2371322f105f53246e893d03c46404ca8c61b
gold150,1804-s0006,coordination,candidate_requires_context_review,4d2c2de1655aa2a0968de49bb7a2371322f105f53246e893d03c46404ca8c61b
gold150,1804-s0006,tool_theory,candidate_requires_context_review,4d2c2de1655aa2a0968de49bb7a2371322f105f53246e893d03c46404ca8c61b
gold150,1804-s0007,coordination,candidate_requires_context_review,3700534543e1dbe8560767598a1b78aa7cf24f4173954ce13241e83e6e81a7f3
gold150,1804-s0007,transversal,candidate_requires_context_review,3700534543e1dbe8560767598a1b78aa7cf24f4173954ce13241e83e6e81a7f3
gold150,1804-s0008,coordination,candidate_requires_context_review,885fff6ec6f89c4273fbc6a1a71736f7629ad5b0a4e32910c19434b02ce8b3d4
gold150,1804-s0010,coordination,candidate_requires_context_review,6356f50259294593cb984c85e92cb97b38e699340ddf1dda226c69e8af6c579a
gold150,1804-s0010,tool_theory,candidate_requires_context_review,6356f50259294593cb984c85e92cb97b38e699340ddf1dda226c69e8af6c579a
gold150,1804-s0010,transversal,candidate_requires_context_review,6356f50259294593cb984c85e92cb97b38e699340ddf1dda226c69e8af6c579a
gold150,1804-s0011,coordination,candidate_requires_context_review,6442543bc94752534031236907d21bba4acc66450aaf8ef133ca7020a7b7a23c
gold150,1804-s0011,transversal,candidate_requires_context_review,6442543bc94752534031236907d21bba4acc66450aaf8ef133ca7020a7b7a23c
gold150,1804-s0015,coordination,candidate_requires_context_review,1bcdbf378009f8c179cb3af7bf6d58d3b7f97d38e971a8fc7f5dd4773d3f6e21
gold150,1804-s0015,transversal,candidate_requires_context_review,1bcdbf378009f8c179cb3af7bf6d58d3b7f97d38e971a8fc7f5dd4773d3f6e21
gold150,1804-s0017,coordination,candidate_requires_context_review,3f19d8203d67ac78fe145d0856b5dec2b01fa9328e865ca22a412712c69f2dec
gold150,1804-s0017,tool_theory,candidate_requires_context_review,3f19d8203d67ac78fe145d0856b5dec2b01fa9328e865ca22a412712c69f2dec
gold150,1804-s0019,tool_theory,candidate_requires_context_review,478649f7e42e9e917f6b8853a49b0ef7fed7e49068521837e794f020a62db13b
gold150,1804-s0020,experience,candidate_requires_context_review,4bda47d9880d50915f1fe8dcb7e20a4e6cbd57f789ea75bf603f19626dc6ed51
gold150,1804-s0020,coordination,candidate_requires_context_review,4bda47d9880d50915f1fe8dcb7e20a4e6cbd57f789ea75bf603f19626dc6ed51
gold150,1804-s0020,transversal,candidate_requires_context_review,4bda47d9880d50915f1fe8dcb7e20a4e6cbd57f789ea75bf603f19626dc6ed51
gold150,1805-s0004,coordination,candidate_requires_context_review,2f167c66f00f45967336dbe372cb7debb8ff9ea52d3f375386c9d91fde5e2649
gold150,1806-s0003,coordination,candidate_requires_context_review,0c55bbfc5270e48d27d5457ea53e4be4b1e20f3677cb1894bbd7dcb016e2f9f7
gold150,1806-s0005,coordination,candidate_requires_context_review,cd897db8ccf68e8e891f5947f8cb75856136f6f62edde4298edb77f4d3ff340f
gold150,1807-s0001,coordination,candidate_requires_context_review,0875d31e88d4b104c940d2f5937a699cb053ae0a42abd49a766b99314c03b2dc
