id,domain,review_bucket,status,codex,doubao,kimi,sentence
1801-s0001,人工智能招聘,kimi_backs_codex,span_mismatch,无人机自动控制系统/S,无人机自动控制系统/S | 技术论证/S | 集成/S,无人机自动控制系统/S,1.2岗位职责（1）负责无人机自动控制系统技术论证与集成；
1804-s0013,人工智能招聘,kimi_backs_codex,span_mismatch,数据敏感/T | 发现规律/S,数据敏感/T,数据敏感/T | 发现规律/S,对数据敏感，善于从数据中发现规律。
1805-s0005,人工智能招聘,kimi_backs_codex,span_mismatch,销售工作/S | 冲床销售/S | 模具销售/S | 机器人销售/S | 自动化设备销售/S,销售/S | 冲床/K | 模具/K | 机器人/K | 自动化设备/K,销售工作/S | 冲床销售/S | 模具销售/S | 机器人销售/S | 自动化设备销售/S, 1.从事销售工作2年以上，有冲床销售、模具销售、机器人销售、自动化设备销售经验者优先考虑；
1805-s0008,人工智能招聘,kimi_backs_codex,span_mismatch,学习能力/T | 开拓精神/T | 吃苦耐劳/T | 独立的工作能力/T,学习能力/T | 开拓精神/T | 吃苦耐劳/T,学习能力/T | 开拓精神/T | 吃苦耐劳/T | 独立的工作能力/T, 4.有很强的学习能力和开拓精神，能吃苦耐劳，有独立的工作能力。
1806-s0004,人工智能招聘,kimi_backs_codex,span_mismatch,C开发/S | 数据结构/K | 算法/K,数据结构/K | 算法/K,C开发/S | 数据结构/K | 算法/K, 任职要求： 1 2年以上C开发经验，熟练掌握常用数据结构及算法；
1806-s0007,人工智能招聘,kimi_backs_codex,span_mismatch,逻辑性强/T | 思维活跃/T | 渴望学习/T,逻辑性强/T | 思维活跃/T,逻辑性强/T | 思维活跃/T | 渴望学习/T, 4 逻辑性强，思维活跃，渴望学习。
1807-s0000,人工智能招聘,kimi_backs_codex,empty_mismatch,[],运营/S,[],工资：6k-8k福利：周末双休、法定节假日+五险一金+三节福利+公司旅游+定期团建岗位职责：1.负责平台产品的运营，研究用户需求，分析用户行为数据；
1816-s0004,人工智能招聘,kimi_backs_codex,span_mismatch,策划/S,专题策划/S,策划/S,4.线上活动、专题策划。
1817-s0005,人工智能招聘,kimi_backs_codex,empty_mismatch,大数据/K,[],大数据/K, 7.负责对大数据相关技术难题的攻关，技术发展方向的预研及选型。
1822-s0011,人工智能招聘,kimi_backs_codex,span_mismatch,乐观积极/T | 学习能力强/T,乐观积极/T | 学习能力/T,乐观积极/T | 学习能力强/T,-乐观积极、学习能力强。
1823-s0002,人工智能招聘,kimi_backs_codex,span_mismatch,界面设计/S,界面设计/S | 修改/S,界面设计/S,3、负责手机产品的界面设计，修改并协同程序员完成相关工作。
1827-s0007,人工智能招聘,kimi_backs_codex,span_mismatch,人机对话/K,人机对话/K | 前沿方向/K,人机对话/K, 4、熟悉人机对话的前沿方向和研究方向；
1827-s0008,人工智能招聘,kimi_backs_codex,span_mismatch,人工智能/K | 机器学习/K,人工智能/K | 机器学习/K | 前沿方向/K,人工智能/K | 机器学习/K, 5、熟悉了解人工智能、机器学习等领域的前沿方向与研究动向；
1832-s0000,人工智能招聘,kimi_backs_codex,empty_mismatch,[],垂直行业资源库搭建/S | 运营/S,[],岗位职责：1、垂直行业资源库搭建和运营；
1834-s0001,人工智能招聘,kimi_backs_codex,span_mismatch,CAD/S | PPT/S,CAD/S,CAD/S | PPT/S,2、 制作配置清单，CAD点位图，样板房和楼盘方案PPT，根据不同用户需求，制定不同类型方案；
1836-s0008,人工智能招聘,kimi_backs_codex,span_mismatch,大专及以上学历/K | 计算机相关专业/K,大专及以上学历/K,大专及以上学历/K | 计算机相关专业/K, 任职要求： 1. 大专及以上学历，计算机相关专业；
1836-s0017,人工智能招聘,kimi_backs_codex,span_mismatch,沟通/T,沟通/T | 积极乐观/T,沟通/T,善于沟通，生活态度积极乐观向上；
1838-s0006,人工智能招聘,kimi_backs_codex,span_mismatch,EXCEL/S | PPT/S,EXCEL/S | PPT/S | 分析工具/K,EXCEL/S | PPT/S,2、工作技能：熟练掌握EXCEL、PPT等常用分析工具及相关语言；
1841-s0009,人工智能招聘,kimi_backs_codex,empty_mismatch,[],互联网/K | 性格沉着/T | 冷静/T | 外向/T,[], 3、热爱互联网，性格沉着、冷静、外向；
1852-s0002,人工智能招聘,kimi_backs_codex,empty_mismatch,技术文档/S,[],技术文档/S, 3、编写和维护必要的技术文档。
1865-s0002,人工智能招聘,kimi_backs_codex,empty_mismatch,[],在线支付/K,[], 7. 熟悉在线支付功能。
1868-s0000,人工智能招聘,kimi_backs_codex,span_mismatch,商业分析/S,分析报告/S | 商业分析/S,商业分析/S,岗位职责：1、基于战略输出产品、技术、销售、市场方向的分析报告，通过业务结合数据进行商业分析，为公司战略/决策/策略落地提供分析支持；
1868-s0006,人工智能招聘,kimi_backs_codex,span_mismatch,互联网行业/K,互联网行业/K | 行业判断/K,互联网行业/K,3、熟悉并了解互联网行业，对互联网行业有自己独特的见解和行业判断。
1872-s0002,人工智能招聘,kimi_backs_codex,span_mismatch,网络/K | 安全/K | 主机/K | 调试/S,网络/K | 安全/K | 主机/K,网络/K | 安全/K | 主机/K | 调试/S, 3、负责网络、安全、主机等机房设备的调试。
1872-s0011,人工智能招聘,kimi_backs_codex,span_mismatch,服务器虚拟化/K | OpenStack/S | 云平台/K,服务器虚拟化/K | OpenStack云平台/K | 认证/K,服务器虚拟化/K | OpenStack/S | 云平台/K, 5、有服务器虚拟化、OpenStack云平台等方面经验或者认证优先。
1873-s0010,人工智能招聘,kimi_backs_codex,span_mismatch,解决问题能力/T | 沟通能力/T,沟通/T,解决问题能力/T | 沟通能力/T,7. 良好的解决问题能力和沟通能力。
1881-s0014,人工智能招聘,kimi_backs_codex,span_mismatch,HBase/S | MongoDB/S,HBase/S | MongoDB/S | 实施经验/S,HBase/S | MongoDB/S,有HBase、MongoDB实施经验的优先；
1882-s0010,人工智能招聘,kimi_backs_codex,empty_mismatch,[],商业敏感性/T,[], 5、有强烈的商业敏感性，善于利用社会化手段及工具扩散信息，要求有相关经验；
1887-s0007,人工智能招聘,kimi_backs_codex,empty_mismatch,[],推荐/S,[], 4、有推荐、搜索 rank 等相关工作经验优先。
1891-s0007,人工智能招聘,kimi_backs_codex,span_mismatch,云计算/K | 数据库/K | 大数据/K,IT从业/S | 地方政府销售/S | 业务拓展/S | 云计算/K | 数据库/K | 大数据/K,云计算/K | 数据库/K | 大数据/K, 2、8年以上IT从业经验，有过部委或者地方政府销售或业务拓展的资历，熟悉云计算，了解数据库和大数据；
1893-s0007,人工智能招聘,kimi_backs_codex,empty_mismatch,[],培训讲师/S | 培训/S,[],职能类别：培训讲师培训
1898-s0002,人工智能招聘,kimi_backs_codex,empty_mismatch,编码/S,[],编码/S, 3、独立完成软件系统及模块的编码；
1898-s0012,人工智能招聘,kimi_backs_codex,span_mismatch,Lua/S | Python/S,Lua/S | Python/S | 脚本/S,Lua/S | Python/S, 5、有Lua，Python等脚本经验；
1899-s0005,人工智能招聘,kimi_backs_codex,empty_mismatch,[],淘宝店铺转让咨询/S,[], 薪资详情 · 薪资范围：8000-12000元/月 · 提成方式：20—25%提成 · 奖金补贴：话补·节假日加班费·年终奖·绩效奖金·全勤奖·工龄奖 · 试用薪资：3500元/月＋提成 职位描述 岗位职责： 1、借助提供公司平台，电话沟通，为客户提供淘宝店铺转让咨询和服务；
1911-s0003,人工智能招聘,kimi_backs_codex,span_mismatch,项目开发/S,大型项目开发/S,项目开发/S,有大型项目开发经验优先;
1913-s0002,人工智能招聘,kimi_backs_codex,empty_mismatch,沟通/T,[],沟通/T, ●能够与研发团队保持密切沟通，实时把握市场及技术动态，为市场、销售及研发团队提供产品方案、项目解决方案等建议。
1914-s0001,人工智能招聘,kimi_backs_codex,span_mismatch,流量运营/S | 用户运营/S | 产品运营/S,流量运营/S | 用户运营/S | 产品运营/S | 网站整体DAU负责/S,流量运营/S | 用户运营/S | 产品运营/S, 2、流量运营、用户运营、产品运营等，对网站整体DAU负责；
1915-s0005,人工智能招聘,kimi_backs_codex,span_mismatch,Ajax/S | JQuery/S | css/S,Ajax/S | JQuery/S | css/S | 网页处理/S,Ajax/S | JQuery/S | css/S," 4. 有一定Ajax, JQuery, css等网页处理经验;"
1918-s0001,人工智能招聘,kimi_backs_codex,empty_mismatch,[],技术积淀/K | 技术氛围/K,[],在这里有深厚的技术积淀，有浓郁的技术氛围，可以学到很多核心的技术。
1918-s0012,人工智能招聘,kimi_backs_codex,span_mismatch,目标导向/T | 抗压能力/T | 有激情/T,目标导向/T | 抗压能力/T | 激情/T,目标导向/T | 抗压能力/T | 有激情/T,5.目标导向，有较强抗压能力，有激情。
1922-s0006,人工智能招聘,kimi_backs_codex,span_mismatch,网络协议/K,网络协议内容/K,网络协议/K,3.了解网络协议内容;
1922-s0010,人工智能招聘,kimi_backs_codex,span_mismatch,学习能力强/T | go/S,学习能力/T | go开发/S,学习能力强/T | go/S,6.学习能力强，未来有可能会用go开发一部分核心模块;
1929-s0006,人工智能招聘,kimi_backs_codex,span_mismatch,数据库/K | Mysql/S | Mongodb/S | Redis/S,Mysql/S | Mongodb/S | Redis/S,数据库/K | Mysql/S | Mongodb/S | Redis/S,4、熟悉常见的数据库，熟练掌握Mysql，Mongodb，Redis者优先；
1931-s0007,人工智能招聘,kimi_backs_codex,empty_mismatch,计算机视觉/K,[],计算机视觉/K,） 1. 负责计算机视觉相关的技术、系统、产品的研发工作；
1932-s0000,人工智能招聘,kimi_backs_codex,empty_mismatch,数据分析/S | 建模/S,[],数据分析/S | 建模/S,岗位职责1、负责指导模型顾问及数据分析师进行项目相关的建模及数据分析工作；
1932-s0009,人工智能招聘,kimi_backs_codex,span_mismatch,Powerpoint/S | Visio/S,Powerpoint/S | Visio/S | 办公软件/K,Powerpoint/S | Visio/S,4、熟练使用Powerpoint、Visio等办公软件；
1932-s0011,人工智能招聘,kimi_backs_codex,empty_mismatch,[],信贷营销场景/K | 风控场景/K,[],6、对各信贷营销场景或风控场景有经验者优先；
1933-s0004,人工智能招聘,kimi_backs_codex,empty_mismatch,计算机网络/K | 相关专业/K,[],计算机网络/K | 相关专业/K, 资格要求： 1、计算机网络及相关专业；
1935-s0005,人工智能招聘,kimi_backs_codex,span_mismatch,html/S | css/S | Javascript/S | ajax/S | restful/S,html/S | css/S | Javascript/S | ajax/S | restful/S | 开发技术/K,html/S | css/S | Javascript/S | ajax/S | restful/S, 4、熟悉html、css、Javascript、ajax、restful等开发技术；
1936-s0000,人工智能招聘,kimi_backs_codex,span_mismatch,设计智能Agent/S,项目需求/K,设计智能Agent/S,职位描述：1．根据项目需求，设计智能Agent；
1938-s0006,人工智能招聘,kimi_backs_codex,empty_mismatch,[],教育培训咨询项目推广/S,[], 2.教育培训咨询项目推广相关经历优先；
1939-s0005,人工智能招聘,kimi_backs_codex,empty_mismatch,营销推广/S,[],营销推广/S, 6、市场拓展：协助联络中心平台产品和智能语音产品的营销推广，利用新技术、新产品为业务创造价值。
1943-s0006,阿里云公开数据集,kimi_backs_codex,span_mismatch,客户开发/S | 维护/S,公司客户开发/S,客户开发/S | 维护/S,"', '4、负责公司客户开发与维护，并与客户建立良好的业务协作关系；"
1945-s0009,阿里云公开数据集,kimi_backs_codex,span_mismatch,服务意识/T,工作认真/T | 务实/T | 服务意识/T,服务意识/T,工作认真、务实，服务意识强。
1954-s0003,阿里云公开数据集,kimi_backs_codex,span_mismatch,主动性强/T | 耐心细致/T | 责任心/T | 团队合作精神/T,工作主动性/T | 耐心细致/T | 责任心/T | 团队合作精神/T,主动性强/T | 耐心细致/T | 责任心/T | 团队合作精神/T,"', '5、工作主动性强，耐心细致，有责任心，具备团队合作精神。"
1955-s0002,阿里云公开数据集,kimi_backs_codex,empty_mismatch,[],弱电工程/K | 综合布线/K | IT机房设施/K | 监控系统/K | 门禁系统/K,[],"', '3、\xa0负责公司IT资源基础设施（弱电工程、综合布线、IT机房设施、监控系统、门禁系统等）建设与运维保障；"
