sentence_id,post_id,near_duplicate_group_id,source,current_split,text_hash,normalized_text_hash,sentence_length_chars,sentence_length_tokens,n_L,n_K,n_S,n_T,n_total_spans,is_empty,annotation_protocol,annotation_provenance,human_verification_status,eligible_for_repartition,exclusion_reason,offset_ok,substring_ok
1-s0000,1,1,Grad,train,f73ab5b6cd110bf6981907190e588b426c634a57a18275c28f8a0cca51053ede,c30d19c9567cd5269c69d168549148c3b6c6b1e56fd6270d511ff2deb50dc880,123,122,0,0,1,0,1,0,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0001,1,1,Grad,train,6151278b28bbea88186ec0eee2364cdd7a997fad2c9398431e055c0e0b8df504,6151278b28bbea88186ec0eee2364cdd7a997fad2c9398431e055c0e0b8df504,58,49,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0002,1,1,Grad,train,13d4105e2311c120a840409847dd4f3b65798b09821028ca1a97eb94c12500c0,13d4105e2311c120a840409847dd4f3b65798b09821028ca1a97eb94c12500c0,66,57,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0003,1,1,Grad,train,a375592f9f4b6dc1784257d49e9d6ce2bc8711fd4d5c95254313cf46f59ae2c6,a375592f9f4b6dc1784257d49e9d6ce2bc8711fd4d5c95254313cf46f59ae2c6,38,38,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0004,1,1,Grad,train,73b762535af437ea5e7ab83102ac3435d774f94d420d5478e8ac08686067e345,73b762535af437ea5e7ab83102ac3435d774f94d420d5478e8ac08686067e345,47,47,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0005,1,1,Grad,train,585451058ee12099b453227dee812df610d8d0a11b1ea29eded518926a8e12f6,585451058ee12099b453227dee812df610d8d0a11b1ea29eded518926a8e12f6,25,25,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0006,1,1,Grad,train,15ecd81c24d7e3139c5a1d1a3db3e8e12dafead904cc29522428034d0c875de8,15ecd81c24d7e3139c5a1d1a3db3e8e12dafead904cc29522428034d0c875de8,21,21,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0007,1,1,Grad,train,28e327f81060ea9b5b30a5160cd212baee321761e91838ff6aee248311052a69,28e327f81060ea9b5b30a5160cd212baee321761e91838ff6aee248311052a69,17,17,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0008,1,1,Grad,train,10bb1823d72fc5418a98cdf7fe787429adc0706c569824b9a7817e81d83cbae3,10bb1823d72fc5418a98cdf7fe787429adc0706c569824b9a7817e81d83cbae3,67,60,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0009,1,1,Grad,train,ab4711c930126b617a920c92152d9c1e199ee16d1bd48538b36bba4bfc607b87,ab4711c930126b617a920c92152d9c1e199ee16d1bd48538b36bba4bfc607b87,22,15,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0010,1,1,Grad,train,aa591e97d5c7cb13a58c3d032f37153598048c998b27e7308923b0aac5f0ae4a,aa591e97d5c7cb13a58c3d032f37153598048c998b27e7308923b0aac5f0ae4a,35,31,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0011,1,1,Grad,train,05df708072c842291c211e3fd4f5e60d82dcf0f46b7dfcdac60678593dfa8ec9,e613b3ed3e2c734c02ed3c7a8c2970a15cc61bbeb1d50e10c5e5a51cc2f95d99,29,29,0,0,0,2,2,0,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0012,1,1,Grad,train,262ca25cbec1d8a6d6e282253af6f7ede3578b59c267f696a704f307406875de,262ca25cbec1d8a6d6e282253af6f7ede3578b59c267f696a704f307406875de,29,29,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0013,1,1,Grad,train,313d4112066af5fcd7437dc387a15da4ad57b414705c63bcbb64d7d42d1dbb5d,313d4112066af5fcd7437dc387a15da4ad57b414705c63bcbb64d7d42d1dbb5d,21,21,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0014,1,1,Grad,train,04376a3726547a620e794e64b8bf1e591cd602d422979bc53346fe71351888b8,04376a3726547a620e794e64b8bf1e591cd602d422979bc53346fe71351888b8,29,29,0,0,0,1,1,0,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0015,1,1,Grad,train,1a641a2bc082f2a52edbd0c8b15f50290ffc535135a95718c016ba0d6ddeacd3,1a641a2bc082f2a52edbd0c8b15f50290ffc535135a95718c016ba0d6ddeacd3,18,18,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0016,1,1,Grad,train,7b9a16701b396c17d950f189b3dbabc34b9bb2199742057b168f8ae869d0d488,7b9a16701b396c17d950f189b3dbabc34b9bb2199742057b168f8ae869d0d488,30,30,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0017,1,1,Grad,train,578ef9dd31622c39f79d67a22ffa8302ec32492aa2452f1bc6dbdddbdb4e5198,578ef9dd31622c39f79d67a22ffa8302ec32492aa2452f1bc6dbdddbdb4e5198,27,27,0,0,0,0,0,1,empty_welfare,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0018,1,1,Grad,train,78942b6d8e1de4bb9e73bf59c08bd74d4b39cda726a6b1f0e6613c9c3f8fce92,78942b6d8e1de4bb9e73bf59c08bd74d4b39cda726a6b1f0e6613c9c3f8fce92,10,10,0,0,0,0,0,1,empty_welfare,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0019,1,1,Grad,train,b7a884bd23ed74846baf8f947dcf33b6d8269db732e599ed5a50ea809000d88b,b7a884bd23ed74846baf8f947dcf33b6d8269db732e599ed5a50ea809000d88b,22,22,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0020,1,1,Grad,train,75cc8706ab888c068e748516407af8d9dcd6efe2d17dced67d2485853727d36f,75cc8706ab888c068e748516407af8d9dcd6efe2d17dced67d2485853727d36f,53,53,0,3,2,0,5,0,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
1-s0021,1,1,Grad,train,2db04879270e920a1fe1087b4b57eecca6ba66f037563dfbbc2953f259430628,2db04879270e920a1fe1087b4b57eecca6ba66f037563dfbbc2953f259430628,24,24,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
2-s0000,2,2,Grad,train,089d59ed0afc7ff7fb610c19fd8b1887c270ecbeddf5d6dfcd3d09f61827be3b,5c4be669774a9c90333dd9f6e3e63a544a3c37beffdd16bb0cef81ae020a96b4,266,264,0,0,8,5,13,0,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
2-s0001,2,2,Grad,train,c8fbd60481a18fe19c10a6b76463ae245a084b8720a6661bba9fd9f7bfe45e92,33fd845503cab3543a6ae89ee47acd5007d990123cf6fc3429ed2685e896aad4,44,44,0,0,1,0,1,0,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
2-s0002,2,2,Grad,train,5f1bcedabffd59d65d5eb413874283311f521c321a20b70c524f2674d830f8df,bc436dbad1a91900f70cea02a01d135b728b849112e801c627c070858fa1b4c1,148,116,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
3-s0000,3,3,Grad,train,acc043a4788037329d6379d26ec8970d073310281ddd82b28f0166efb940ea50,acc043a4788037329d6379d26ec8970d073310281ddd82b28f0166efb940ea50,20,18,0,0,0,0,0,1,rule_v4,v4_silver_draft,not_human_reviewed,1,,1,1
