kind,n,splits,boilerplate,locations,global_ids,preview
exact_text_cross,102,dev|test|train,1,train:4-s0009|train:27-s0009|train:37-s0006|train:38-s0014|train:42-s0013|train:79-s0002|train:199-s0014|train:203-s0017|train:214-s0004|train:259-s0014|train:273-s0007|train:279-s0005,4|27|37|38|42|79|199|203,。
exact_text_cross,9,dev|test|train,1,train:4-s0010|train:430-s0014|train:474-s0015|train:565-s0004|train:1317-s0011|train:1477-s0006|dev:1710-s0008|dev:1770-s0004|test:1810-s0001,4|430|474|565|1317|1477|1710|1770,马 克 数 据 网
exact_text_cross,8,dev|test|train,1,train:5-s0010|train:244-s0014|train:815-s0005|train:1514-s0012|dev:1646-s0016|test:1818-s0008|test:1866-s0010|test:1883-s0016,5|244|815|1514|1646|1818|1866|1883, 微信公众号马克数据网
exact_text_cross,5,dev|test|train,1,train:6-s0008|train:468-s0002|train:1113-s0007|dev:1794-s0009|test:1858-s0016,6|468|1113|1794|1858,]。
exact_text_cross,7,test|train,1,train:22-s0004|train:276-s0001|train:1002-s0011|train:1320-s0021|train:1438-s0008|train:1599-s0010|test:1919-s0009,22|276|1002|1320|1438|1599|1919,数据由马 克 数 据整理
exact_text_cross,123,dev|train,1,train:25-s0001|train:25-s0002|train:34-s0001|train:34-s0002|train:34-s0003|train:35-s0007|train:35-s0011|train:60-s0026|train:60-s0028|train:60-s0030|train:60-s0031|train:95-s0001,25|25|34|34|34|35|35|60,！
exact_text_cross,6,test|train,1,train:27-s0010|train:549-s0006|train:1077-s0004|train:1110-s0016|train:1155-s0015|test:1924-s0014,27|549|1077|1110|1155|1924,来源：马 克 团 队
exact_text_cross,5,dev|test|train,0,train:29-s0006|train:1228-s0008|train:1331-s0008|dev:1800-s0010|test:1930-s0005,29|1228|1331|1800|1930, 分享 微信邮件
exact_text_cross,17,dev|train,1,train:37-s0007|train:101-s0007|train:163-s0007|train:374-s0026|train:383-s0016|train:469-s0007|train:659-s0006|train:688-s0003|train:783-s0014|train:795-s0014|train:908-s0007|train:1068-s0011,37|101|163|374|383|469|659|688, （来自 马克数据网）
exact_text_cross,2,dev|train,1,train:38-s0015|dev:1788-s0012,38|1788,来源：马 克 数 据 网
exact_text_cross,6,test|train,1,train:42-s0014|train:613-s0013|train:1562-s0004|test:1843-s0010|test:1873-s0012|test:1886-s0005,42|613|1562|1843|1873|1886,关注公众号马 克 数 据 网
exact_text_cross,4,dev|train,1,train:53-s0009|train:957-s0013|train:1216-s0013|dev:1652-s0012,53|957|1216|1652, 搜索马 克 数 据 网
exact_text_cross,13,dev|test|train,1,train:66-s0012|train:259-s0015|train:273-s0008|train:354-s0005|train:539-s0019|train:566-s0008|train:730-s0010|train:886-s0007|train:1372-s0011|dev:1613-s0009|dev:1628-s0009|test:1867-s0012,66|259|273|354|539|566|730|886, （更多数据，详见马克数据网）
exact_text_cross,5,dev|train,1,train:67-s0020|train:171-s0028|train:1227-s0012|train:1441-s0024|dev:1676-s0007,67|171|1227|1441|1676,来自：马 克 团 队
exact_text_cross,6,dev|test|train,1,train:76-s0006|train:481-s0013|train:790-s0011|train:1151-s0008|dev:1630-s0013|test:1935-s0010,76|481|790|1151|1630|1935, 来自马克数据网
exact_text_cross,5,dev|test|train,0,train:77-s0006|train:156-s0017|train:1038-s0009|dev:1611-s0009|test:1851-s0007,77|156|1038|1611|1851, 更多详情，请浏览厦门人才网（www.xmrc.com.cn）
exact_text_cross,12,dev|test|train,0,train:79-s0003|train:635-s0010|train:965-s0032|train:1036-s0012|train:1111-s0011|train:1182-s0011|train:1246-s0010|train:1301-s0011|train:1330-s0003|dev:1732-s0006|test:1822-s0012|test:1903-s0010,79|635|965|1036|1111|1182|1246|1301, （macrodatas.cn）
exact_text_cross,7,test|train,1,train:109-s0004|train:304-s0018|train:432-s0015|train:1118-s0010|train:1454-s0013|train:1558-s0012|test:1807-s0007,109|304|432|1118|1454|1558|1807, 来源：马 克 团 队
exact_text_cross,30,dev|test|train,1,train:130-s0010|train:205-s0017|train:226-s0018|train:239-s0002|train:408-s0004|train:568-s0007|train:589-s0008|train:612-s0008|train:748-s0019|train:1028-s0005|train:1084-s0007|train:1132-s0010,130|205|226|239|408|568|589|612,]
exact_text_cross,5,dev|test|train,0,train:133-s0006|train:895-s0014|dev:1666-s0010|dev:1680-s0016|test:1926-s0009,133|895|1666|1680|1926,来自马-克-数-据-官网
exact_text_cross,21,dev|test|train,0,train:140-s0006|train:209-s0008|train:307-s0017|train:517-s0008|train:602-s0021|train:666-s0011|train:845-s0008|train:995-s0012|train:1015-s0010|train:1027-s0008|train:1058-s0017|train:1230-s0010,140|209|307|517|602|666|845|995,", 高薪诚聘"
exact_text_cross,7,dev|train,1,train:144-s0007|train:702-s0017|train:1169-s0017|train:1419-s0008|dev:1692-s0009|dev:1717-s0011|dev:1797-s0013,144|702|1169|1419|1692|1717|1797, 来源：马 克 数 据 网
exact_text_cross,10,dev|train,1,train:147-s0013|train:188-s0006|train:255-s0003|train:319-s0009|train:729-s0015|train:808-s0001|train:1026-s0013|train:1117-s0007|train:1157-s0001|dev:1782-s0006,147|188|255|319|729|808|1026|1117, 来源：百度搜索马克数据网
exact_text_cross,12,dev|test|train,1,train:181-s0010|train:495-s0007|train:684-s0015|train:1092-s0008|train:1230-s0001|train:1360-s0009|train:1388-s0007|train:1503-s0002|train:1513-s0182|train:1516-s0008|dev:1603-s0006|test:1938-s0009,181|495|684|1092|1230|1360|1388|1503,；
exact_text_cross,13,dev|test|train,1,train:196-s0016|train:284-s0006|train:309-s0005|train:318-s0013|train:402-s0012|train:1023-s0016|train:1282-s0011|train:1313-s0004|train:1371-s0032|train:1391-s0010|dev:1766-s0009|test:1917-s0008,196|284|309|318|402|1023|1282|1313, 该数据由<马克数据网>整理
exact_text_cross,5,dev|test|train,1,train:269-s0022|train:1260-s0013|dev:1712-s0010|test:1803-s0012|test:1913-s0010,269|1260|1712|1803|1913, 来自：马 克 团 队
exact_text_cross,5,test|train,0,train:320-s0009|train:553-s0039|train:906-s0006|train:1017-s0014|test:1877-s0011,320|553|906|1017|1877, 马-克-数据
exact_text_cross,5,dev|test|train,1,train:333-s0006|train:757-s0008|train:1200-s0034|dev:1755-s0039|test:1856-s0001,333|757|1200|1755|1856,（来 自 马 克 数 据 网）
exact_text_cross,2,dev|train,1,train:334-s0014|dev:1714-s0007,334|1714,（macrodatas.cn） （来 自 马 克 数 据 网）
exact_text_cross,8,test|train,1,train:336-s0022|train:854-s0030|train:854-s0032|train:854-s0034|train:854-s0036|train:854-s0038|train:866-s0004|test:1929-s0004,336|854|854|854|854|854|866|1929,;
exact_text_cross,7,dev|train,1,train:339-s0017|train:497-s0001|train:660-s0014|train:1569-s0011|dev:1619-s0012|dev:1660-s0023|dev:1709-s0016,339|497|660|1569|1619|1660|1709,关注公众号马克数据网
exact_text_cross,4,test|train,1,train:371-s0008|train:468-s0003|train:623-s0002|test:1869-s0008,371|468|623|1869,微信公众号马克 数据网
exact_text_cross,4,test|train,1,train:389-s0007|train:1122-s0012|train:1240-s0018|test:1858-s0017,389|1122|1240|1858,搜索马 克 数 据 网
exact_text_cross,2,test|train,0,train:439-s0004|test:1876-s0009,439|1876,结业颁发工业和信息化部软件与集成电路促进中心职业技能等级证书，行业内畅通无阻。
exact_text_cross,5,dev|test|train,0,train:449-s0029|train:821-s0008|train:1005-s0012|dev:1794-s0010|test:1898-s0016,449|821|1005|1794|1898,更多数据：www.macrodatas.cn
exact_text_cross,5,test|train,0,train:455-s0034|test:1991-s0114|test:1991-s0115|test:1991-s0116|test:1991-s0117,455|1991|1991|1991|1991,&gt;
exact_text_cross,6,dev|train,0,train:483-s0013|train:735-s0004|train:941-s0014|train:1105-s0023|train:1112-s0011|dev:1730-s0008,483|735|941|1105|1112|1730,www.macrodatas.cn
exact_text_cross,10,dev|train,1,train:533-s0005|train:712-s0012|train:807-s0013|train:1164-s0005|train:1396-s0014|train:1489-s0017|train:1521-s0013|train:1538-s0014|train:1552-s0011|dev:1776-s0009,533|712|807|1164|1396|1489|1521|1538, 马 克 数 据 网
exact_text_cross,3,dev|train,1,train:605-s0005|train:1138-s0005|dev:1743-s0009,605|1138|1743, 关注公众号马克数据网
exact_text_cross,6,dev|test|train,0,train:640-s0013|train:1405-s0006|train:1502-s0008|dev:1715-s0017|dev:1760-s0008|test:1884-s0016,640|1405|1502|1715|1760|1884, 来自马-克-数-据
exact_text_cross,2,dev|train,1,train:658-s0000|dev:1605-s0000,658|1605,来自马克数据网 。
exact_text_cross,2,test|train,0,train:692-s0004|test:1897-s0005,692|1897,5、学习能力强，工作热情高，富有责任感，工作认真、细致、敬业，责任心强；
exact_text_cross,4,dev|train,0,train:695-s0011|train:1444-s0008|dev:1661-s0012|dev:1703-s0009,695|1444|1661|1703,来自：www.macrodatas.cn
exact_text_cross,3,dev|train,0,train:872-s0001|train:911-s0013|dev:1675-s0001,872|911|1675,2、根据市场营销计划，完成部门销售指标；
exact_text_cross,3,dev|train,0,train:872-s0002|train:911-s0014|dev:1675-s0002,872|911|1675,"3、开拓新市场,发展新客户,增加产品销售范围；"
exact_text_cross,2,test|train,1,train:953-s0011|test:1805-s0010,953|1805,来源：百度马 克 数据网
exact_text_cross,4,dev|train,1,train:989-s0012|train:1375-s0012|train:1561-s0012|dev:1667-s0013,989|1375|1561|1667,来自马克数据网
exact_text_cross,4,dev|train,1,train:1040-s0019|train:1262-s0003|train:1401-s0008|dev:1728-s0010,1040|1262|1401|1728,更多数据：搜索马克数据网来源：www.macrodatas.cn
exact_text_cross,2,dev|train,0,train:1043-s0001|dev:1645-s0001,1043|1645,２．通过电话等方式，跟进顾客购买意向，提供相应指导，促成订单；
