system,dump_or_api_id,n,split,typed_exact_f1,typed_relaxed_f1,source,note
gpt-5.4 SOP extract,gpt-5.4,2601,P2_hybrid_2601,0.2131674887411538,0.4199013510615484,reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/gpt-5.4/summary_gpt-5.4.json,diagnostic SOP extract; not frozen @@span## dump; not PDF Table 3
gpt-5.4 SOP extract,gpt-5.4,980,P2_simhuman980,0.2062822315986873,0.42069073292701986,reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/gpt-5.4/summary_gpt-5.4.json,SimHuman overlay not human Gold
kimi-k2.6 SOP extract,kimi-k2.6,2601,P2_hybrid_2601,0.19786977050620402,0.403206324805095,reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/kimi-k2.6/summary_kimi-k2.6.json,Moonshot thinking disabled; not dump kimi-k2-0711-preview
kimi-k2.6 SOP extract,kimi-k2.6,980,P2_simhuman980,0.1911905521864028,0.4107883817427386,reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/kimi-k2.6/summary_kimi-k2.6.json,SimHuman overlay not human Gold
claude-sonnet-4-5 SOP extract,claude-sonnet-4-5,2601,P2_hybrid_2601,0.1972396486825596,0.3987452948557089,reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/claude-sonnet-4-5/summary_claude-sonnet-4-5.json,not dump claude-3-5-haiku-20241022
claude-sonnet-4-5 SOP extract,claude-sonnet-4-5,980,P2_simhuman980,0.18605504587155963,0.3944954128440368,reports/sandbox_lskt_v4_silver/sop_extract_p2_2601/claude-sonnet-4-5/summary_claude-sonnet-4-5.json,SimHuman overlay not human Gold
Qwen2.5-14B-Instruct SOP extract,Qwen2.5-14B-Instruct,2601,P2_hybrid_2601,0.17240917013004423,0.3279259954417482,reports/qwen25_14b_instruct_sopv4_p2_2601_scores.csv,local Instruct no LoRA; not frozen dump
Qwen2.5-14B-Instruct SOP extract,Qwen2.5-14B-Instruct,980,P2_simhuman980,0.17107309486780714,0.3390357698289269,reports/qwen25_14b_instruct_sopv4_p2_2601_980_scores.csv,SimHuman overlay not human Gold
ChatGPT frozen dump + jieba,gpt-4o,2601,P2_hybrid_2601,0.2854,0.6249,tables/hybrid_cws_llm_old_dumps.csv,P2 main table reference; not SOP re-call
JobBERT 3M v4 + jieba,chinese-roberta-wwm-ext + JD MLM + CRF,2601,P2_hybrid_2601,0.4331,0.5873,tables/hybrid_cws_simhuman980_all_models.csv,P2 main table reference
