id,status,source_domain,sentence,prelabel_rule_v4,prelabel_sonnet46,unaligned,comment,human_spans
1801-s0004,todo,人工智能招聘,（4）负责参与公司无人机飞控系统技术项目开发策划、总体方案论证、技术设...,技术项目开发策划/S | 论证/S | 技术设../S,开发/S | 策划/S | 论证/S,,拆分并列，删除半词,
1802-s0000,todo,人工智能招聘,工作职责：1、监控和管理当前服务器、存储和备份基础设施的性能和容量。,监控和管理当前服/S | 存储和备/K,监控/S | 管理/S,,拆分并列，删除半词,
1802-s0005,todo,人工智能招聘,6、培训其他方法、工具和技术支持多个应用。,培训其/S | 方法/S | 工具和技术/S,培训/S | 技术支持/S,,删除半词，保留完整技能,
1802-s0006,todo,人工智能招聘,7、监督生产系统的改进计划和发展。,生产系统的改进计/K,[],,职责描述，非能力要求,
1802-s0007,todo,人工智能招聘,岗位要求Musthava1、5年以上在一个环境下的高级系统管理的强大的技术背景2、虚拟化经验，较强的技术背景（VMwareESX服务器/OpenVZ、KVM）3、用脚本语言经验（BashShell或Python）4、Web服务器（Apache，Tomcat）经验5、经验与监测（Zabbix）6、基础设施自动化经验（chef，Jekins）。,系统管理的强/S | 技术背景2/K | 虚拟化经验/K | VMwareESX服务器/OpenVZ、KVM/K | 脚本语言经验/S | Web服务器（Apache，Tomcat/K | 验与监测（Zabbix）6/S | 基础设施自动化经/K,系统管理/S | 虚拟化/K | VMwareESX/S | OpenVZ/S | KVM/S | BashShell/S | Python/S | Apache/S | Tomcat/S | Zabbix/S | chef/S | Jekins/S,,拆分并列，工具归S，删除半词和数字,
1802-s0008,todo,人工智能招聘,nicetohave1、有网络管理或网络工程工作经验者优先2、与AWS工作经验者优先3、有组织性和主动性4、良好的英文读写能力5、优秀的沟通能力和团队合作精神项目简介:我们公司作为跨国企业InternetBrands中国唯一的离岸研发中心，已经合作了5年多，目前团队技术人员40人，随着合作的深入，计划今年新招20人。,网络管理或网络工/K | AWS工作/K | 组织性和主动性4/T | 的英文读写能力5/L | 沟通能力和团队合/T,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文/L | 沟通能力/T | 团队合作精神/T,,拆分并列，删除半词和数字，英文归L,
1802-s0017,todo,人工智能招聘,公司致力于大数据和云计算的研究与服务，向全球客户提供离岸研发、智能硬件检测与认证、移动通讯终端的测试和评估等专业服务。,大数据和云计算的/K | 离岸研发/S | 智能硬/S,[],,公司简介,
1803-s0000,todo,人工智能招聘,岗位职责：1、负责策划亚马逊PPC广告策略并实施推进，结合公司产品制定并优化投放方案；,策划亚/S | 实施推/S | 制定并优化投/S,策划/S | 制定/S | 优化/S,,删除半词，拆分并列,
1803-s0001,todo,人工智能招聘,2、投放PPC广告并监控分析广告效果，提升广告有效性以达到投资回报最大化；,投放PPC/S | 监控分/S | 提升广/S | 到投资回报最大化/S,投放PPC广告/S | 监控分析广告效果/S | 提升广告有效性/S,,补全半词；投资回报最大化是目标不是技能,
1803-s0002,todo,人工智能招聘,3、独立操作竞价，如扩展长尾关键字，调整价格，优化曝光与转化率，并协助完成Listing优化；,操作竞价/S | 扩展长尾关键字/S | Listing优化/S,操作竞价/S | 扩展长尾关键字/S | 调整价格/S | 优化曝光与转化率/S | Listing优化/S,,补全拆分并列技能,
1803-s0003,todo,人工智能招聘,4、结合公司品牌销售战略，有效管理推广预算，高效配合其他站内Deals促销、站内展示广告、以及其他站外推广活动；,管理推广预算/S | 配合其/T,管理推广预算/S,,配合其是半词且配合本身是职责动词不标,
1803-s0004,todo,人工智能招聘,5、从各个维度对广告数据进行全面分析，根据分析结果给出优化建议，并不断优化广告投放效果。,广告数据进行全面/S | 分析结果给/K | 优化建议/S | 优化广告投放效果/S,广告数据进行全面分析/S | 优化广告投放效果/S,,补全半词；分析结果给和优化建议是职责描述不是独立技能,
1803-s0006,todo,人工智能招聘,"2、一年以上亚马逊PPC广告工作经验，有Google,Yahoo,Bing等英文SEM工作经验者优先；",亚马逊PPC广告工作/K | Bing等英文/L,PPC广告/S | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/S,,工作经验不标；平台和技能拆开；英文是语种,
1803-s0007,todo,人工智能招聘,3、对数据变化敏感，较强的数据分析和挖掘经验，熟悉使用Word，Excel，PPT等办公软件；,数据分析和挖掘经/S | 使用Word/S | Excel，PPT等办公软件/S,数据分析/S | Word/S | Excel/S | PPT/S,数据挖掘,补全半词并拆分；办公软件各自独立标注；删除熟悉使用,
1803-s0008,todo,人工智能招聘,4、思维敏捷有较强抗压能力，强烈的责任心和学习能力，优秀的语言沟通能力；,思维敏捷有较强抗/T,抗压能力/T | 责任心/T | 学习能力/T | 沟通能力/T,,补全半词并拆分软技能；思维敏捷是修饰不独立标,
1804-s0001,todo,人工智能招聘,我们希望您以坚实的技术功底和对研发的热忱，与我们一起解决京东业务上的挑战。,技术功底和对/K | 研发的热/K | 解决京/S,[],,宣传鸡汤整句不标,
