id,align,source_domain,gold_sentence,simhuman_sentence
1801-s0004,ellipsis_truncation,人工智能招聘,（4）负责参与公司无人机飞控系统技术项目开发策划、总体方案论证、技术设计,（4）负责参与公司无人机飞控系统技术项目开发策划、总体方案论证、技术设...
1836-s0000,gold_substring_of_sim,人工智能招聘,岗位职责： 1、8年以上的软件行业研发经验，4年以上项目管理经验、技术管理或研发管理工作经验；,百度搜索马 克 数 据 网 岗位职责： 1、8年以上的软件行业研发经验，4年以上项目管理经验、技术管理或研发管理工作经验；
1987-s0030,id_text_mismatch,事业单位招聘,陈述申辩时间为开始报名时间至8月21日下午16:00。, （2）应聘人员须同时具有相应学历和学位证书，且学历证书上的毕业专业与应聘专业相一致。
1987-s0031,id_text_mismatch,事业单位招聘, 报名采用邮箱报名方式，应聘人员填写《南通开放大学公开招聘工作人员报名登记表》（附件3），连同以下材料电子版打包发送至邮箱：ntkdrsc@126.com，邮件主题为：岗位代码+姓名+专业，应聘人员每次限报一个岗位。, （2）应聘人员须同时具有相应学历和学位证书，且学历证书上的毕业专业与应聘专业相一致。
1988-s0012,id_text_mismatch,事业单位招聘,普通高等学历教育（非在职）应届毕业生须于2023年7月31日前毕业取得学历（学位）；,3.具有国家承认的大学专科及以上学历的毕业生。
1988-s0013,id_text_mismatch,事业单位招聘,留学回国人员须于2023年7月31日前取得国（境）外学位并完成教育部留学服务中心学历认证。,3.具有国家承认的大学专科及以上学历的毕业生。
1988-s0051,id_text_mismatch,事业单位招聘,报名考务费减免对象和办法。,（2）“退役大学生士兵”是指以下两类人员：一是具有涿鹿县户籍且从涿鹿县应征入伍，入伍前即取得普通高等教育全日制大学专科及以上学历的退役士兵；
1988-s0052,id_text_mismatch,事业单位招聘,享受建档立卡脱贫家庭的考生和城乡低保家庭的考生，先在网上交费，待考试结束后7个工作日内考生到涿鹿县人力资源和社会保障局事业单位管理科审核并办理减免考试报名考务费用的退费手续。,二是具有涿鹿县户籍且大学期间从涿鹿县应征入伍、服役期满退出现役后复学，取得普通高等教育全日制大学专科以上学历的退役士兵；
1988-s0053,id_text_mismatch,事业单位招聘,审核确定符合减免条件的考生，所退费用退回原交费账户。,二是具有涿鹿县户籍且大学期间从涿鹿县应征入伍、服役期满退出现役后复学，取得普通高等教育全日制大学专科以上学历的退役士兵；
1990-s0002,id_text_mismatch,事业单位招聘,1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下5鱼类遗传育种从事鲤科鱼类实验鱼繁殖、养殖工作，在宽甸基地一线负责基地管理、科研工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下6冷水性鱼类养殖在渤海水产实验站开展工作，主要从事冷水性鱼增养殖及实验鱼苗种培育等工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业本科及以上学士及以上35周岁以下7鲑鳟营养与饲料研究科研人员开展饲料添加剂研发、肠道健康与免疫学及抗应激机理研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下8林蛙种质资源与遗传育种主要从事东北林蛙种质资源、遗传育种及养殖技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下9基地技术员负责基地鱼类养殖、繁殖和驯化等工作，并负责鱼类饲喂；,为加强人才队伍建设，优化岗位结构，现将2023年度第二批招聘岗位公告如下：一、招聘岗位及要求：共11个岗位（11人），具体要求详见下表：序号岗位名称岗位简介招聘人数招聘范围专业学历要求学位要求年龄要求4鱼类遗传育种利用遗传学分析方法，从事鲤科鱼类分析、品种选育工作。
1990-s0004,id_text_mismatch,事业单位招聘,（二）热爱渔业，爱岗敬业，事业心和责任感强，具有良好的团队协作和开拓创新精神；,1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下5鱼类遗传育种从事鲤科鱼类实验鱼繁殖、养殖工作，在宽甸基地一线负责基地管理、科研工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下6冷水性鱼类养殖在渤海水产实验站开展工作，主要从事冷水性鱼增养殖及实验鱼苗种培育等工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业本科及以上学士及以上35周岁以下7鲑鳟营养与饲料研究科研人员开展饲料添加剂研发、肠道健康与免疫学及抗应激机理研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下8林蛙种质资源与遗传育种主要从事东北林蛙种质资源、遗传育种及养殖技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下9基地技术员负责基地鱼类养殖、繁殖和驯化等工作，并负责鱼类饲喂；
1990-s0005,id_text_mismatch,事业单位招聘,（三）学习成绩优良或具有较为丰富的相关工作经验；,1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下5鱼类遗传育种从事鲤科鱼类实验鱼繁殖、养殖工作，在宽甸基地一线负责基地管理、科研工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下6冷水性鱼类养殖在渤海水产实验站开展工作，主要从事冷水性鱼增养殖及实验鱼苗种培育等工作1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业本科及以上学士及以上35周岁以下7鲑鳟营养与饲料研究科研人员开展饲料添加剂研发、肠道健康与免疫学及抗应激机理研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生博士35周岁以下8林蛙种质资源与遗传育种主要从事东北林蛙种质资源、遗传育种及养殖技术研究1高校毕业生、留学回国人员、博士后出站人员、社会在职人员等水产及生物类相关专业研究生硕士及以上35周岁以下9基地技术员负责基地鱼类养殖、繁殖和驯化等工作，并负责鱼类饲喂；
