file,line,numbers,study,source,text
tex/tables_EFG_appendix.tex,6,"150; 1.2; 42,; 43,; 44,; 150",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"The following completed analyses retain the frozen Gold150 reference and \texttt{cnss-lskt-1.2.0}. They extend the sentence-level isolation study without replacing its designated results. Where repeated training is reported, values are means and sample standard deviations across seeds 42, 43, and 44, not test-set confidence intervals. Gold150 has already informed earlier analyses; these follow-ups are not a new blind evaluation."
tex/tables_EFG_appendix.tex,9,1,E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,\label{sec:p1-contrast}
tex/tables_EFG_appendix.tex,11,"1; 2,150; 169; 6; 0; 0; 1; 1; 0; 150; 0",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"The P1 experiment uses the same 2,150/169 \texttt{v6a\_nocross} manifest and LoRA training budget as the designated P0 experiment. It changes the instruction presentation to a system-role instruction with a JSON-wrapped input sentence. P0 is reused rather than retrained. For each P1 seed, one checkpoint is selected using frozen-development typed exact F1 without demonstrations ($k=0$), then shared by the no-demonstration, random-demonstration, and nearest-neighbor-demonstration conditions. Gold150 is excluded from gradient updates, the retrieval index, and checkpoint selection. Here, $k=0$ denotes inference without demonstrations after SFT, not a zero-shot, unfine-tuned model."
tex/tables_EFG_appendix.tex,14,150; 0; 1; 1,E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"\caption{Study E: Qwen instruction and demonstration sensitivity on Gold150. P0 is the unchanged designated SFT result; all P1 inference conditions share the development-selected checkpoint within each seed. Values are typed micro-F1 (mean $\pm$ sample SD, three seeds).}"
tex/tables_EFG_appendix.tex,15,1,E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,\label{tab:appendix-e-p1}
tex/tables_EFG_appendix.tex,20,1; 1,E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,Condition & Exact F1 & Relaxed F1 \\
tex/tables_EFG_appendix.tex,22,"0,; 0.1215; 0.0092; 0.4459; 0.0237",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"P0, reused & $0.1215\pm0.0092$ & $0.4459\pm0.0237$ \\"
tex/tables_EFG_appendix.tex,23,"1,; 0; 0.1455; 0.0196; 0.4905; 0.0109",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"P1, no demonstrations ($k=0$) & $0.1455\pm0.0196$ & $0.4905\pm0.0109$ \\"
tex/tables_EFG_appendix.tex,24,"1,; 3; 0.0452; 0.0067; 0.3507; 0.0085",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"P1, random demonstrations ($k=3$) & $0.0452\pm0.0067$ & $0.3507\pm0.0085$ \\"
tex/tables_EFG_appendix.tex,25,"1,; 3; 0.0315; 0.0047; 0.3491; 0.0122",E,output/silver_plus_p1_contrast_20260909/P1_CONTRAST_RESULTS.json,"P1, nearest-neighbor demonstrations ($k=3$) & $0.0315\pm0.0047$ & $0.3491\pm0.0122$ \\"
