id,source_domain,bucket,n_silver_spans,sentence
182-s0003,应届生招聘,high,4, 4、熟悉电脑操作及办公软件（word excel等）；
1519-s0010,人工智能招聘,empty,0,想掌控云计算的未来吗？
526-s0008,应届生招聘,low,1,晋升空间业绩突出并具有管理能力者可升为组长、销售主管、平台经理等；
229-s0012,应届生招聘,low,2," 福利待遇 股票期权,年终分红,交通补助,午餐补助,带薪年假,绩效奖金,弹性工作,扁平管理"
9-s0001,应届生招聘,low,2,2.本科以上，机械电子专业或外语专业；
92-s0003,应届生招聘,high,9,二、福利方面：1、本公司订单充足无淡旺季之分生产常年稳定2、全员享有带薪法定假日及年休假、社保福利和劳动合同权利3、工资每月15日准时以银行卡方式发放自建厂以来从未拖欠工资4、时制为:办公人员五天半、生产人员六天制两种加班比例均按法定计算5、常有公开的内聘机会、提拔机制及技能培训为你提供广阔的个人发展空间6、炎热季节均免费提供五花凉茶或降温解暑糖水特殊岗位享有高温补贴7、公司设有篮球场、羽毛球等娱乐场地每年都有大型联欢晚会及抽奖活动8、满一年双职工公司免费提供配齐电器及餐桌椅的带厨卫的单套房，但水电费自理9、宿舍分为两房两厅带厨卫，一房一厅带厨卫，单套房带厨卫，单人间两人间，四人间及八人间，每一间宿舍均配有:空调、彩电、电热水器等电器三、应聘须知：1、为了优先收到您的邮件，主题请填写：应聘职位：XXX求职者：XXX2、应聘时间：本公司招聘时间，上午9:0011:00下午2:004:003、详细资料请进入本公司网址了解情况
1295-s0007,人工智能招聘,high,3,3.熟悉C/C++开发，有较强的算法实现能力，具有良好的代码质量和风格；
983-s0010,人工智能招聘,low,2,3.具有强烈的求知欲，工作态度积极主动；
1417-s0004,人工智能招聘,low,1,任职要求：1.熟练使用PHP/Python/Golang/Java/C++等一种或者以上语言。
215-s0008,应届生招聘,low,2, 岗位要求 1、负责货物装卸和搬运工作;
1086-s0002,人工智能招聘,empty,0,3、完成领导交办的其他工作。
1014-s0092,人工智能招聘,empty,0,很多开淘宝店的卖家，还不如做淘宝客赚钱；
130-s0007,应届生招聘,empty,0, 4、会应用各种视频剪辑软件者优先考虑；
1471-s0007,人工智能招聘,empty,0,4、意志坚定，刚正不阿。
92-s0002,应届生招聘,low,2,2、工作仔细认真、责任心强福利待遇：五天半工作制，购买五险一金，包住；
1455-s0003,人工智能招聘,high,3,4、解决方案：负责输出数据产品的业务解决方案，并推动解决方案的落地应用；
234-s0006,应届生招聘,low,1,7、协助展会准备工作。
16-s0009,应届生招聘,low,1,4.上班时间：上午9:00-12:30.下午14:00-19:00(单双休)欢迎应届毕业生同样享有公司正式员工晋升机会；
1328-s0021,人工智能招聘,empty,0,6.极具竞争力的薪水，福利待遇好，出国工作、学习和交流机会多。
980-s0000,人工智能招聘,low,2,赛舵科技是一家提供人工智能技术服务的初创企业，目前专注于全球市场的智能语音语义业务。
1264-s0005,人工智能招聘,high,5,熟悉ISO20000、ISO27001、ISO9001、COBIT、等级保护等相关标准；
1155-s0005,人工智能招聘,low,1, 6、负责各项目、部门和技术领域的合作协调。
1553-s0024,人工智能招聘,high,4, 伙伴与文化 北京财务伙伴多来自不同的大型互联网或500强企业，公司重视员工的个人成长，不仅为员工设计专业和管理的双通道职业发展路径，也让每个人的成长贡献能够通过职级体系得到及时明确的体现。
1491-s0003,人工智能招聘,low,2,4、管理维护客户关系以及客户间的长期战略合作计划。
78-s0011,应届生招聘,empty,0, 公司网址：http://www.gzredian.com 来自：马 克 团 队
698-s0001,应届生招聘,empty,0,职位描述：面对南京所有大中小企业；
67-s0015,应届生招聘,low,2,注：以上特征如果你确实都具备，或者你能够对不足的地方做出调整，那么请尽快联系我们，我们随时欢迎你的加入。
820-s0005,应届生招聘,high,4, 岗位职责： 1、推广公司产品，协助客户完成POS机激活。
757-s0002,应届生招聘,low,2,3、完成招聘数据日常的更新、维护；
213-s0000,应届生招聘,high,6,崇福甜豆豆艺术培训中心诚招早教老师 本机构致力于2-16岁孩子的艺术教育.现诚聘早教教师1名（女），兼职教师1名.要求如下： ●能力要求： 有亲和力，有与1到3岁幼儿沟通的能力.善于早教教学. ●岗位职责： 能够把握好课堂的进度及氛围，课前做好上课计划，课后做好和家长的沟通交流。
763-s0029,应届生招聘,empty,0,705；
495-s0019,应届生招聘,empty,0,公司以房地产三级市场买卖、租赁、贷款、评估等中介业务及一手楼盘代理为主营业务。
700-s0013,应届生招聘,high,5,具备处理问题、安排进展、跟进进程、沟通及疑难问题服务的意识跟能力；
585-s0011,应届生招聘,empty,0,4、在职期间表现优秀，且工龄满2年可晋升为公司合伙人并享有公司分红、股份。
1139-s0047,人工智能招聘,empty,0,我们不做平庸的公司，也不要平庸的员工。
1431-s0010,人工智能招聘,empty,0,注：投递时请附上作品集。
562-s0031,应届生招聘,empty,0,7、节日礼品+户外拓展+公司聚餐+旅游
1121-s0001,人工智能招聘,high,10, 职位要求：计算机、通信、软件工程、网络安全、信息系统、自动化、电子信息、控制工程、模式识别、数学等相关、相近专业。
633-s0003,应届生招聘,empty,0, 4) 负责为理事提供送药服务；
342-s0005,应届生招聘,low,1,6、能够利用多种技术形式提升网站人气。
730-s0009,应届生招聘,low,1,6、收集相关报表核对差异，确保账单准确无误。
148-s0001,应届生招聘,empty,0, 2. 根据公司现行渠道开发客户与房源；
