pred,train_silver,decode,test_gold,typed_exact,iou50,paper_role
jobbert_1m_goldstyle_v3,goldstyle_v3,raw,gold_v2_official,0.1224,,official_encoder_baseline
jobbert_1m_v4,lskt_v4_sop,raw,gold_v2_official,0.1079,0.3320,ablation_sop_train_vs_official_gold
jobbert_3m_v4,lskt_v4_sop,raw,gold_v2_official,0.1104,0.3404,ablation_sop_train_vs_official_gold
jobbert_1m_v4,lskt_v4_sop,jieba_posthoc,gold_v2_official,0.1454,0.3411,decode_cws_snap_not_retrained
jobbert_3m_v4,lskt_v4_sop,jieba_posthoc,gold_v2_official,0.1479,0.3470,decode_cws_snap_not_retrained
jobbert_1m_v4,lskt_v4_sop,raw,sop_rule_v4_2601,0.3170,0.5663,consistency_same_rule_not_official
jobbert_3m_v4,lskt_v4_sop,raw,sop_rule_v4_2601,0.3229,0.5624,consistency_same_rule_not_official
jobbert_1m_v4,lskt_v4_sop,jieba_posthoc,sop_rule_v4_2601,0.2609,0.5835,snap_hurts_exact_when_sop_gold_has_halfwords
jobbert_1m_v4,lskt_v4_sop,jieba_posthoc,sop_cws_2601,0.4278,0.5960,same_rule_both_sides_snapped
jobbert_3m_v4,lskt_v4_sop,jieba_posthoc,sop_cws_2601,0.4341,0.5884,same_rule_both_sides_snapped
