split,kind,key,n,frac
gold_v2_test,char_len,1,26,0.0039
gold_v2_test,char_len,2,1738,0.2623
gold_v2_test,char_len,3,406,0.0613
gold_v2_test,char_len,4,1971,0.2974
gold_v2_test,char_len,5,423,0.0638
gold_v2_test,char_len,6,803,0.1212
gold_v2_test,char_len,7,290,0.0438
gold_v2_test,char_len,8,277,0.0418
gold_v2_test,char_len,9,187,0.0282
gold_v2_test,char_len,10,138,0.0208
gold_v2_test,char_len,11,83,0.0125
gold_v2_test,char_len,12,73,0.011
gold_v2_test,char_len,13,43,0.0065
gold_v2_test,char_len,14,26,0.0039
gold_v2_test,char_len,15,24,0.0036
gold_v2_test,char_len,16,20,0.003
gold_v2_test,char_len,17,18,0.0027
gold_v2_test,char_len,18,11,0.0017
gold_v2_test,char_len,19,13,0.002
gold_v2_test,char_len,20,9,0.0014
gold_v2_test,char_len,21+,48,0.0072
gold_v2_test,char_band,short<=5,4564,0.6887
gold_v2_test,char_band,long>5,2063,0.3113
gold_v2_test,type_L,short<=5,16,0.0024
gold_v2_test,type_L,long>5,15,0.0023
gold_v2_test,type_K,short<=5,1572,0.2372
gold_v2_test,type_K,long>5,639,0.0964
gold_v2_test,type_S,short<=5,2242,0.3383
gold_v2_test,type_S,long>5,1142,0.1723
gold_v2_test,type_T,short<=5,734,0.1108
gold_v2_test,type_T,long>5,267,0.0403
gold_v2_test,total_spans,all,6627,1.0
gold_v2_test,mean_char,all,4.8971,
gold_v2_test,mean_tok,all,4.8971,
v4_hybrid_test,char_len,1,0,0.0
v4_hybrid_test,char_len,2,353,0.0842
v4_hybrid_test,char_len,3,181,0.0432
v4_hybrid_test,char_len,4,1002,0.2391
v4_hybrid_test,char_len,5,401,0.0957
v4_hybrid_test,char_len,6,647,0.1544
v4_hybrid_test,char_len,7,738,0.1761
v4_hybrid_test,char_len,8,569,0.1358
v4_hybrid_test,char_len,9,64,0.0153
v4_hybrid_test,char_len,10,45,0.0107
v4_hybrid_test,char_len,11,28,0.0067
v4_hybrid_test,char_len,12,31,0.0074
v4_hybrid_test,char_len,13,19,0.0045
