paper_role,model_id,coverage_or_run,provenance_note
legacy ChatGPT dump,gpt-4o,complete,no dated snapshot string logged
legacy Claude dump,claude-3-5-haiku-20241022,missing 98 IDs,filled view adds 98 claude-sonnet-4-6 predictions
legacy Kimi dump,kimi-k2-0711-preview,missing 293 IDs,mixed completion view excluded from main table
legacy DeepSeek dump,deepseek-r1,complete,frozen dump
legacy/local Qwen dump,Qwen2.5-14B-Instruct,complete,local model
SOP full re-call,gpt-5.4,2601/2601,run 2026-08-26
SOP full re-call,kimi-k2.6,2601/2601,thinking disabled
SOP full re-call,deepseek-v4-pro,2601/2601,run 2026-08-26
SOP full re-call,claude-sonnet-4-5,2601/2601,provider-reported upstream claude-sonnet-4-5-20250929
SOP full re-call,Qwen2.5-14B-Instruct,2601/2601,local no-LoRA
SOP full re-call,Llama-3-8B-Instruct,2601/2601,local no-LoRA
encoder,Chinese RoBERTa-wwm-ext + JD MLM + CRF,not applicable,1M and 3M denote DAPT corpus size
