n,cross_split,locations,text_preview
2,0,train:4-s0008|train:456-s0006,4、优秀应届毕业生亦可。
104,1,train:4-s0009|train:27-s0009|train:37-s0006|train:38-s0014|train:42-s0013|train:79-s0002|train:199-s0014|train:203-s0017|train:214-s0004|train:217-s0024|train:259-s0014|train:273-s0007,。
19,1,train:4-s0010|train:430-s0014|train:474-s0015|train:533-s0005|train:565-s0004|train:712-s0012|train:807-s0013|train:1164-s0005|train:1317-s0011|train:1396-s0014|train:1477-s0006|train:1489-s0017,马 克 数 据 网
14,1,train:5-s0010|train:244-s0014|train:815-s0005|train:1189-s0011|train:1458-s0010|train:1485-s0011|train:1514-s0012|dev:1627-s0010|dev:1646-s0016|dev:1665-s0011|dev:1682-s0016|test:1818-s0008,微信公众号马克数据网
5,1,train:6-s0008|train:468-s0002|train:1113-s0007|dev:1794-s0009|test:1858-s0016,]。
10,1,train:6-s0009|train:640-s0013|train:704-s0008|train:879-s0015|train:1405-s0006|train:1406-s0002|train:1502-s0008|dev:1715-s0017|dev:1760-s0008|test:1884-s0016,来自马-克-数-据
2,0,train:8-s0013|train:261-s0029,月薪过万不是梦！
112,0,train:10-s0006|train:10-s0009|train:154-s0004|train:189-s0010|train:249-s0000|train:249-s0003|train:249-s0005|train:249-s0007|train:249-s0009|train:280-s0002|train:530-s0005|train:530-s0008,&nbsp;
8,0,train:18-s0007|train:215-s0016|train:217-s0025|train:324-s0009|train:563-s0016|train:590-s0011|train:1170-s0009|train:1340-s0015,数据由马 克 团 队整理
2,0,train:21-s0014|train:21-s0016,关注!
8,0,train:21-s0015|train:21-s0017|train:21-s0018|train:21-s0022|train:21-s0025|train:21-s0026|train:580-s0012|train:580-s0013,!
10,1,train:22-s0004|train:276-s0001|train:1002-s0011|train:1239-s0006|train:1320-s0021|train:1438-s0008|train:1599-s0010|dev:1798-s0008|test:1919-s0009|test:1940-s0013,数据由马 克 数 据整理
8,0,train:24-s0004|train:160-s0004|train:221-s0004|train:282-s0003|train:388-s0005|train:501-s0005|train:871-s0005|train:875-s0005,学会后即可转正；
5,0,train:24-s0005|train:160-s0005|train:221-s0005|train:501-s0006|train:875-s0006,", 叉车工招聘要求：, 1、年龄：16-40岁，男女不限；"
3,0,train:24-s0006|train:501-s0007|train:875-s0007,", 2、要求无传染性疾病，身体健康，能吃苦有责任心, 3、须提供本人身份证原件（身份证复印件一寸照片各4张）；"
5,0,train:24-s0007|train:160-s0007|train:221-s0007|train:501-s0008|train:875-s0008,", 4、有长期叉车工作经验优先录用、无经验可做学徒；"
5,0,train:24-s0008|train:160-s0008|train:221-s0008|train:501-s0009|train:875-s0009,", 岗位职责:, 1、负责做好各类生产辅料、零部件、半成品、废料、生产垃圾等物资的叉运工作。"
5,0,train:24-s0009|train:160-s0009|train:221-s0009|train:501-s0010|train:875-s0010,", 2、认真做好车辆日常维护和保养工作确保叉车安全、整洁。"
5,0,train:24-s0010|train:160-s0010|train:221-s0010|train:501-s0011|train:875-s0011,", 3、在转运过程中认真负责货物应按要求规范放置，不得私自外借叉车。"
5,0,train:24-s0011|train:160-s0011|train:221-s0011|train:501-s0012|train:875-s0012,", 4、遵守公司规章制度完成车间安排的其它临时任务。"
3,0,train:24-s0012|train:501-s0013|train:875-s0013,", 食宿：, 包吃住，宿舍4-6人间，住宿条件优美，（空调，热水，宽带、独立卫生间）。"
8,0,train:24-s0013|train:160-s0013|train:221-s0013|train:282-s0012|train:388-s0014|train:501-s0014|train:871-s0014|train:875-s0014,提供工作餐（两荤两素）免费发放工作服等，一经录用待遇优厚，工资在每月10号以打卡形式发放。
5,0,train:24-s0014|train:160-s0014|train:221-s0014|train:501-s0015|train:875-s0015,", 注：可接收应届生，实习生。"
8,0,train:24-s0015|train:160-s0015|train:221-s0015|train:282-s0014|train:388-s0016|train:501-s0016|train:871-s0016|train:875-s0016,包吃住。
123,1,train:25-s0001|train:25-s0002|train:34-s0001|train:34-s0002|train:34-s0003|train:35-s0007|train:35-s0011|train:60-s0026|train:60-s0028|train:60-s0030|train:60-s0031|train:95-s0001,！
14,1,train:26-s0006|train:291-s0002|train:320-s0009|train:525-s0034|train:553-s0039|train:558-s0014|train:672-s0014|train:737-s0009|train:778-s0037|train:906-s0006|train:1017-s0014|train:1253-s0012,马-克-数据
8,0,train:27-s0003|train:54-s0003|train:149-s0003|train:368-s0004|train:393-s0003|train:412-s0003|train:453-s0003|train:584-s0003,4、定期与合作客户进行沟通，建立良好的长期合作关系。
2,0,train:27-s0008|train:368-s0009,5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度，有相关电话销售工作经验者优先。
13,1,train:27-s0010|train:109-s0004|train:304-s0018|train:432-s0015|train:549-s0006|train:1077-s0004|train:1110-s0016|train:1118-s0010|train:1155-s0015|train:1454-s0013|train:1558-s0012|test:1807-s0007,来源：马 克 团 队
5,1,train:29-s0006|train:1228-s0008|train:1331-s0008|dev:1800-s0010|test:1930-s0005,分享 微信邮件
2,0,train:32-s0002|train:581-s0005,【工作职责】1、负责 物品送达，保证能够安全到达地点2、负责物品的监督、指挥装卸（不需要搬运）3、协助完成物品签收、确认产品等日常事务【任职资格】1、16-45周岁，学历不限2、能适应外出，做事仔细认真，有责任心3、身体健康，需能吃苦耐劳【
2,0,train:32-s0003|train:581-s0006,我们可以接受你没有工作经验，可以接受你没有学历！
2,0,train:32-s0004|train:938-s0014,但是你必须得能吃苦耐劳！
11,1,train:32-s0005|train:42-s0014|train:613-s0013|train:634-s0021|train:784-s0008|train:1329-s0013|train:1349-s0010|train:1562-s0004|test:1843-s0010|test:1873-s0012|test:1886-s0005,关注公众号马 克 数 据 网
2,0,train:35-s0013|train:424-s0009,2、详细了解客户的需求，做信息的合理匹配；
2,0,train:35-s0015|train:424-s0011,4、负责业务进展及房屋缴税过户手续办理等服务工作；
2,0,train:35-s0016|train:424-s0012,5、客户开发与积累，经营与维护。
17,1,train:37-s0007|train:101-s0007|train:163-s0007|train:374-s0026|train:383-s0016|train:469-s0007|train:659-s0006|train:688-s0003|train:783-s0014|train:795-s0014|train:908-s0007|train:1068-s0011,（来自 马克数据网）
9,1,train:38-s0015|train:144-s0007|train:702-s0017|train:1169-s0017|train:1419-s0008|dev:1692-s0009|dev:1717-s0011|dev:1788-s0012|dev:1797-s0013,来源：马 克 数 据 网
2,0,train:40-s0005|train:514-s0009,00；
2,0,train:40-s0006|train:514-s0010,法定节假日休息。
2,0,train:41-s0002|train:299-s0002,3.学习能力强，工作热情高，富有责任感，工作认真、细致、敬业，责任心强；
2,0,train:41-s0003|train:299-s0003,4.本岗位欢迎优秀应届毕业生前来应聘。
3,0,train:41-s0007|train:384-s0005|train:903-s0014,男女不限；
8,1,train:53-s0009|train:389-s0007|train:957-s0013|train:1122-s0012|train:1216-s0013|train:1240-s0018|dev:1652-s0012|test:1858-s0017,搜索马 克 数 据 网
2,0,train:64-s0007|train:822-s0009,2、熟悉办公室行政管理知识及工作流程，熟练运用OFFICE等办公软件；
2,0,train:64-s0010|train:218-s0013,4、丰富多彩的员工活动：员工聚餐、年度体检、节日晚会、旅游活动、运动会、优秀员工表彰活动等；
2,0,train:64-s0011|train:218-s0014,5、多元化培训课程：带薪岗前培训，在职个人提升计划。
13,1,train:66-s0012|train:259-s0015|train:273-s0008|train:354-s0005|train:539-s0019|train:566-s0008|train:730-s0010|train:886-s0007|train:1372-s0011|dev:1613-s0009|dev:1628-s0009|test:1867-s0012,（更多数据，详见马克数据网）
