id,domain,review_bucket,status,codex,doubao,kimi,sentence
1801-s0002,人工智能招聘,pair_agree_kimi_diff,agree_spans,自动驾驶仪/K | 飞控计算机/K | 导航设备/K | 测试/S | 联调/S,自动驾驶仪/K | 飞控计算机/K | 导航设备/K | 测试/S | 联调/S,自动驾驶仪/S | 飞控计算机/S | 导航设备/S | 测试/S | 联调/S,（2）负责自动驾驶仪、飞控计算机、导航设备等关键设备的测试与联调；
1801-s0003,人工智能招聘,pair_agree_kimi_diff,agree_spans,无人机航电/K | 载荷/K | 研发管理/S,无人机航电/K | 载荷/K | 研发管理/S,无人机航电/S | 载荷/S,（3）负责无人机航电、载荷的研发管理；
1802-s0001,人工智能招聘,pair_agree_kimi_diff,agree_spans,分析/S | 解决/S | 服务器/K | 硬件/K | 软件/K,分析/S | 解决/S | 服务器/K | 硬件/K | 软件/K,服务器/S | 硬件/S | 软件/S,2、分析和解决与服务器，硬件和软件相关的问题。
1802-s0002,人工智能招聘,pair_agree_kimi_diff,agree_spans,配置/S | 维护/S | 虚拟专用服务器/K,配置/S | 维护/S | 虚拟专用服务器/K,配置/S | 维护/S | 虚拟专用服务器/S,3、配置和维护虚拟专用服务器。
1802-s0003,人工智能招聘,pair_agree_kimi_diff,agree_spans,解决/S | 网络/K | 操作系统/K,解决/S | 网络/K | 操作系统/K,网络/S | 操作系统/S,4、解决网络和操作系统的问题。
1802-s0013,人工智能招聘,pair_agree_kimi_diff,agree_empty,[],[],学习/T | 美国潮流软件/S | 技术平台/S | 项目管理流程/S,l在这里你能学习并使用美国潮流软件/技术平台，参与美国先进的项目管理流程，并有机会到美国学习；
1804-s0016,人工智能招聘,pair_agree_kimi_diff,agree_spans,数据驱动优化/S,数据驱动优化/S,数据驱动优化/S | 解决实际工程/S,有通过数据驱动优化来解决实际工程的候选者加分。
1805-s0000,人工智能招聘,pair_agree_kimi_diff,agree_spans,销售/S | 推广/S,销售/S | 推广/S,[],性别：不限驾照：不要求 岗位职责: 1.负责公司产品的销售及推广；
1805-s0006,人工智能招聘,pair_agree_kimi_diff,agree_spans,性格外向/T | 坦诚/T | 自信/T | 乐观/T | 思维活跃/T,性格外向/T | 坦诚/T | 自信/T | 乐观/T | 思维活跃/T,[], 2.性格外向、坦诚、自信、乐观、思维活跃；
1806-s0000,人工智能招聘,pair_agree_kimi_diff,agree_spans,C语言/S | 数据处理平台/S | Windows/S | Linux/S | 软件开发/S,C语言/S | 数据处理平台/S | Windows/S | Linux/S | 软件开发/S,C语言/S | 数据处理平台/K | 软件开发/S,岗位职责： 1 使用C语言进行数据处理平台(Windows 及 Linux)的软件开发；
1806-s0001,人工智能招聘,pair_agree_kimi_diff,agree_spans,地理空间大数据/K | 处理/S | 编译/S | 转换/S | 压缩/S | 传输/S,地理空间大数据/K | 处理/S | 编译/S | 转换/S | 压缩/S | 传输/S,地理空间大数据/K, 2 负责地理空间大数据的处理、编译、转换、压缩及传输工作；
1807-s0005,人工智能招聘,pair_agree_kimi_diff,agree_spans,团队管理/S,团队管理/S,团队管理/T,2、有一定团队管理；
