id,n_occurrences,raw_line_numbers,texts_identical,labels_identical,same_posting,global_ids,classification,suggested_action,n_distinct_texts,n_distinct_label_sets,text_preview
1987-s0016,2,2046|2047,1,1,1,1987|1987,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,2023年毕业生，取得学历、学位证书的日期可放宽至2023年12月31日。
1987-s0022,2,2053|2054,1,1,1,1987|1987,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1, （2）尚未解除纪律处分或者正在接受纪律审查的人员，刑事处罚期限未满或者涉嫌违法犯罪正在接受调查的人员；
1987-s0038,2,2069|2078,1,1,1,1987|1987,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,取消岗位情况在南通市人力资源和社会保障局网、南通开放大学官网公告。
1987-s0045,2,2077|2086,1,0,1,1987|1987,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2, 五、考试方式 各岗位考试方式均为面试，面试由试讲与答辩两个环节组成，成绩以百分制计算。
1987-s0059,2,2091|2094,1,0,1,1987|1987,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2, 属于下列情况之一者，取消聘用资格：①在规定期限内，无工作单位的人员不与南通开放大学签订聘用合同者，有工作单位的人员不能提供与原单位解除关系证明者。
1987-s0066,2,2100|2107,1,1,1,1987|1987,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1, （四）其他导致拟聘岗位空缺的情形。
1988-s0005,2,2113|2114,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,2.具有良好的品行和职业道德，无政治历史问题，无违法违纪行为。
1988-s0006,2,2115|2118,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,3.具有国家承认的大学专科及以上学历的毕业生。
1988-s0010,2,2121|2122,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,计算年龄、户籍、档案关系等时间的截止日期为2023年8月7日。
1988-s0026,2,2137|2139,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,二是具有涿鹿县户籍且大学期间从涿鹿县应征入伍、服役期满退出现役后复学，取得普通高等教育全日制大学专科以上学历的退役士兵；
1988-s0027,2,2140|2141,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,（3）2023年应届毕业生中服务北京2022年冬奥会、冬残奥会的大学生志愿者。
1988-s0035,2,2144|2153,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,8.应聘人员不得报考聘用后即构成回避关系的招聘岗位。
1988-s0038,2,2156|2157,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,②直系血亲关系，包括祖父母、外祖父母、父母、子女、孙子女、外孙子女；
1988-s0049,2,2165|2166,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,报名当日17:00前未按时提交证明材料的视为“审核不通过”。
1988-s0054,2,2171|2172,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,建档立卡脱贫家庭的考生需提供本人身份证和原扶贫手册（复印件）；
1988-s0056,2,2174|2176,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,退费事宜逾期不再办理。
1988-s0063,2,2182|2183,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,一般情况下，审核员24小时内会在报名系统上回复审核结果。
1988-s0085,2,2205|2206,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,报考医学类岗位的考生，参加医学类专业科目笔试。
1988-s0091,2,2212|2213,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,5.成绩查询。
1988-s0101,2,2223|2224,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,4.报考“服务基层项目人员”岗位中“退役大学生士兵”，还需要提供《退役证》原件及复印件、《入伍通知书》复印件（加盖涿鹿县人武部公章）；
1988-s0107,2,2230|2231,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,2.采取结构化面试的方式，时间6分钟，每名考生需回答2道题，主要测试内容包括理论素养、综合分析、临场应变、仪容举止、语言表达能力以及心理素质等。
1988-s0113,2,2237|2238,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,同一职位综合成绩出现并列时，笔试成绩高者优先，笔试成绩并列时，学历高者优先。
1988-s0126,2,2251|2252,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,弄虚作假，误导、欺骗领导或公众的；
1988-s0145,2,2271|2273,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,（八）公示、聘用1.根据考试成绩及体检、考察结果，确定拟聘用人员并将拟聘用人员名单在张家口市人力资源和社会保障局网站、涿鹿县人民政府网站公示7个工作日。
1988-s0154,2,2278|2282,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,2.考生在网上报名时，务必填写本人常用的联系方式，并保持手机等通讯设备畅通，因通讯不畅影响报名、考试、资格审查、体检、考察、递补的，后果自负。
1988-s0156,2,2284|2285,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,4.在公开招聘过程中发现违纪违规行为，严格按照《事业单位公开招聘违纪违规行为处理规定》等处理。
1988-s0157,2,2286|2291,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,5.招聘工作全程在纪检监察部门监督、指导下进行，并欢迎社会各界监督。
1988-s0159,2,2288|2289,1,1,1,1988|1988,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,本公告发布后，如有突发重大变化，将按照上级指示精神，酌情调整变更相关工作安排。
1988-s0161,2,2292|2294,1,0,1,1988|1988,annotation_conflict,do not auto-merge; hold out for human adjudication,1,2,目前社会上出现的假借事业单位招聘考试命题组、专门培训机构等名义举办的辅导班、辅导网站或发行的出版物、上网卡等，均与本次考试无关。
1989-s0000,2,2297|2298,1,1,1,1989|1989,exact_duplicate,keep first row; drop later identical rows; log dropped line numbers,1,1,华富街道办2023年7月公开选用机关事业单位辅助人员和社区专职工作者考核工作已于2023年8月16日完成。
