id,domain,status,kimi_status,human_priority,doubao_n_dropped,codex,doubao,kimi,rule,sentence
1801-s0001,人工智能招聘,span_mismatch,pending,True,0,无人机自动控制系统/S,无人机自动控制系统/S | 技术论证/S | 集成/S,,无人机自动控制系/S,1.2岗位职责（1）负责无人机自动控制系统技术论证与集成；
1801-s0002,人工智能招聘,agree_spans,pending,False,0,自动驾驶仪/K | 飞控计算机/K | 导航设备/K | 测试/S | 联调/S,自动驾驶仪/K | 飞控计算机/K | 导航设备/K | 测试/S | 联调/S,,自动驾驶仪/K | 飞控/K | 测试与联调/S,（2）负责自动驾驶仪、飞控计算机、导航设备等关键设备的测试与联调；
1801-s0003,人工智能招聘,agree_spans,pending,False,0,无人机航电/K | 载荷/K | 研发管理/S,无人机航电/K | 载荷/K | 研发管理/S,,无人机航电/K | 载荷/K,（3）负责无人机航电、载荷的研发管理；
1801-s0004,人工智能招聘,span_mismatch,pending,True,0,无人机飞控系统/K | 项目开发策划/S | 总体方案论证/S,无人机飞控系统/S | 开发策划/S | 总体方案论证/S,,技术项目开发策划/S | 论证/S | 技术设../S,（4）负责参与公司无人机飞控系统技术项目开发策划、总体方案论证、技术设...
1802-s0000,人工智能招聘,span_mismatch,pending,True,0,监控/S | 管理/S | 服务器/K | 存储/K | 备份基础设施/K,监控/S | 管理/S | 服务器/K | 存储/K | 备份/S,,监控和管理当前服/S | 存储和备/K,工作职责：1、监控和管理当前服务器、存储和备份基础设施的性能和容量。
1802-s0001,人工智能招聘,agree_spans,pending,False,0,分析/S | 解决/S | 服务器/K | 硬件/K | 软件/K,分析/S | 解决/S | 服务器/K | 硬件/K | 软件/K,,分析和解决与服务/S,2、分析和解决与服务器，硬件和软件相关的问题。
1802-s0002,人工智能招聘,agree_spans,pending,False,0,配置/S | 维护/S | 虚拟专用服务器/K,配置/S | 维护/S | 虚拟专用服务器/K,,护虚拟专用服务器/S,3、配置和维护虚拟专用服务器。
1802-s0003,人工智能招聘,agree_spans,pending,False,0,解决/S | 网络/K | 操作系统/K,解决/S | 网络/K | 操作系统/K,,解决网/S | 操作系统的问/K,4、解决网络和操作系统的问题。
1802-s0004,人工智能招聘,span_mismatch,pending,True,0,应用程序/K | 维护/S | 支持服务/S,维护/S | 支持服务/S,,维护和支持服务/S,5、负责多平台或关键应用程序的维护和支持服务。
1802-s0005,人工智能招聘,span_mismatch,pending,True,0,培训/S | 技术支持/S,培训/S | 方法/K | 工具/S | 技术/K,,培训其/S | 方法/S | 工具和技术/S,6、培训其他方法、工具和技术支持多个应用。
