id,batch,status,source_domain,conflict_kind,empty_hint,sentence,prelabel_rule_v4,suggest_codex,suggest_doubao,suggest_kimi,human_spans,comment
1801-s0004,01,todo,人工智能招聘,span_mismatch,,（4）负责参与公司无人机飞控系统技术项目开发策划、总体方案论证、技术设...,技术项目开发策划/S | 论证/S | 技术设../S,无人机飞控系统/K | 项目开发策划/S | 总体方案论证/S,无人机飞控系统/S | 开发策划/S | 总体方案论证/S,技术项目开发策划/S | 总体方案论证/S,,
1802-s0000,01,todo,人工智能招聘,span_mismatch,,工作职责：1、监控和管理当前服务器、存储和备份基础设施的性能和容量。,监控和管理当前服/S | 存储和备/K,监控/S | 管理/S | 服务器/K | 存储/K | 备份基础设施/K,监控/S | 管理/S | 服务器/K | 存储/K | 备份/S,服务器/S | 存储/S | 备份/S,,
1802-s0005,01,todo,人工智能招聘,span_mismatch,,6、培训其他方法、工具和技术支持多个应用。,培训其/S | 方法/S | 工具和技术/S,培训/S | 技术支持/S,培训/S | 方法/K | 工具/S | 技术/K,培训/S | 方法/S | 工具/S | 技术支持/S,,
1802-s0006,01,todo,人工智能招聘,span_mismatch,,7、监督生产系统的改进计划和发展。,生产系统的改进计/K,监督/S | 生产系统/K | 改进计划/S,监督/S | 生产系统/K | 改进/S,监督/S | 改进计划/S | 发展/S,,
1802-s0007,01,todo,人工智能招聘,span_mismatch,,岗位要求Musthava1、5年以上在一个环境下的高级系统管理的强大的技术背景2、虚拟化经验，较强的技术背景（VMwareESX服务器/OpenVZ、KVM）3、用脚本语言经验（BashShell或Python）4、Web服务器（Apache，Tomcat）经验5、经验与监测（Zabbix）6、基础设施自动化经验（chef，Jekins）。,系统管理的强/S | 技术背景2/K | 虚拟化经验/K | VMwareESX服务器/OpenVZ、KVM/K | 脚本语言经验/S | Web服务器（Apache，Tomcat/K | 验与监测（Zabbix）6/S | 基础设施自动化经/K,系统管理/S | 虚拟化/K | VMwareESX/S | OpenVZ/S | KVM/S | 脚本语言/K | BashShell/S | Python/S | Web服务器/K | Apache/S | Tomcat/S | 监测/S | Zabbix/S | 基础设施自动化/S | chef/S | Jekins/S,系统管理/S | 虚拟化/K | VMwareESX服务器/S | OpenVZ/S | KVM/S | BashShell/S | Python/S | Apache/S | Tomcat/S | Zabbix/S | 基础设施自动化/S | chef/S | Jekins/S,系统管理/S | 技术背景/K | 虚拟化/S | 技术背景/K | OpenVZ/S | KVM/S | 脚本语言/S | Python/S | Web服务器/S | Apache/S | Tomcat/S | 监测/S | Zabbix/S | 基础设施自动化/S | chef/S,,
1802-s0008,01,todo,人工智能招聘,span_mismatch,,nicetohave1、有网络管理或网络工程工作经验者优先2、与AWS工作经验者优先3、有组织性和主动性4、良好的英文读写能力5、优秀的沟通能力和团队合作精神项目简介:我们公司作为跨国企业InternetBrands中国唯一的离岸研发中心，已经合作了5年多，目前团队技术人员40人，随着合作的深入，计划今年新招20人。,网络管理或网络工/K | AWS工作/K | 组织性和主动性4/T | 的英文读写能力5/L | 沟通能力和团队合/T,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文读写能力/L | 沟通能力/T | 团队合作精神/T,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文/L | 沟通能力/T | 团队合作精神/T,网络管理/S | 网络工程/S | AWS/S | 组织性/T | 主动性/T | 英文读写能力/L | 沟通能力/T | 团队合作精神/T,,
1802-s0017,01,todo,人工智能招聘,empty_mismatch,,公司致力于大数据和云计算的研究与服务，向全球客户提供离岸研发、智能硬件检测与认证、移动通讯终端的测试和评估等专业服务。,大数据和云计算的/K | 离岸研发/S | 智能硬/S,大数据/K | 云计算/K | 离岸研发/S | 智能硬件检测/S | 认证/S | 移动通讯终端/K | 测试/S | 评估/S,[],大数据/K | 云计算/K | 离岸研发/S | 智能硬件检测与认证/S | 移动通讯终端的测试和评估/S,,
1803-s0000,01,todo,人工智能招聘,span_mismatch,,岗位职责：1、负责策划亚马逊PPC广告策略并实施推进，结合公司产品制定并优化投放方案；,策划亚/S | 实施推/S | 制定并优化投/S,亚马逊PPC广告策略/S | 实施推进/S | 制定/S | 优化/S | 投放方案/S,策划/S | 亚马逊PPC广告/K | 实施/S | 优化/S | 投放方案/K,亚马逊PPC广告/S | 投放方案/S,,
1803-s0001,01,todo,人工智能招聘,span_mismatch,,2、投放PPC广告并监控分析广告效果，提升广告有效性以达到投资回报最大化；,投放PPC/S | 监控分/S | 提升广/S | 到投资回报最大化/S,投放PPC广告/S | 监控/S | 分析/S,投放/S | PPC广告/K | 监控/S | 分析/S,PPC广告/S | 监控分析/S | 广告效果/S | 投资回报最大化/S,,
1803-s0002,01,todo,人工智能招聘,span_mismatch,,3、独立操作竞价，如扩展长尾关键字，调整价格，优化曝光与转化率，并协助完成Listing优化；,操作竞价/S | 扩展长尾关键字/S | Listing优化/S,操作竞价/S | 扩展长尾关键字/S | 调整价格/S | 优化曝光/S | 转化率/K | Listing优化/S,操作竞价/S | 长尾关键字/K | 调整价格/S | 优化/S | Listing优化/S,竞价/S | 长尾关键字/S | 调整价格/S | 优化曝光/S | 转化率/S | Listing优化/S,,
