split,metric,AI,Cloud,Public,Grad,Total
Train (v4 silver),# Posts,630,,,970,1600
Train (v4 silver),# Sentences,7148,,,10312,17460
Train (v4 silver),# Tokens,261788,,,351163,612951
Train (v4 silver),# Skill spans (S+T),9780,,,8864,18644
Train (v4 silver),# Knowledge spans (L+K),4047,,,2562,6609
Train (v4 silver),# L,77,,,262,339
Train (v4 silver),# K,3970,,,2300,6270
Train (v4 silver),# S,7357,,,5058,12415
Train (v4 silver),# T,2423,,,3806,6229
Train (v4 silver),# Sentences with overlap,0,,,0,0
Dev (v4 silver),# Posts,200,,,,200
Dev (v4 silver),# Sentences,2143,,,,2143
Dev (v4 silver),# Tokens,79783,,,,79783
Dev (v4 silver),# Skill spans (S+T),2967,,,,2967
Dev (v4 silver),# Knowledge spans (L+K),1411,,,,1411
Dev (v4 silver),# L,32,,,,32
Dev (v4 silver),# K,1379,,,,1379
Dev (v4 silver),# S,2244,,,,2244
Dev (v4 silver),# T,723,,,,723
Dev (v4 silver),# Sentences with overlap,0,,,,0
Test-V4 (paper gold),# Posts,140,40,20,,200
Test-V4 (paper gold),# Sentences,1407,457,737,,2601
Test-V4 (paper gold),# Tokens,56725,16712,34050,,107487
Test-V4 (paper gold),# Skill spans (S+T),2051,563,174,,2788
Test-V4 (paper gold),# Knowledge spans (L+K),973,257,173,,1403
Test-V4 (paper gold),# L,22,10,1,,33
Test-V4 (paper gold),# K,951,247,172,,1370
Test-V4 (paper gold),# S,1535,425,130,,2090
Test-V4 (paper gold),# T,516,138,44,,698
Test-V4 (paper gold),# Sentences with overlap,0,0,0,,0
Unlabeled DAPT,# Sentences,409400,,,590600,1000000
Unlabeled DAPT,# Sentences (3.2M mix),1310080,,,1889920,3200000
