id,domain,review_bucket,status,codex,doubao,kimi,sentence
1801-s0004,人工智能招聘,must_human_split,span_mismatch,无人机飞控系统/K | 项目开发策划/S | 总体方案论证/S,无人机飞控系统/S | 开发策划/S | 总体方案论证/S,技术项目开发策划/S | 总体方案论证/S,（4）负责参与公司无人机飞控系统技术项目开发策划、总体方案论证、技术设...
1802-s0000,人工智能招聘,must_human_split,span_mismatch,监控/S | 管理/S | 服务器/K | 存储/K | 备份基础设施/K,监控/S | 管理/S | 服务器/K | 存储/K | 备份/S,服务器/S | 存储/S | 备份/S,工作职责：1、监控和管理当前服务器、存储和备份基础设施的性能和容量。
1802-s0005,人工智能招聘,must_human_split,span_mismatch,培训/S | 技术支持/S,培训/S | 方法/K | 工具/S | 技术/K,培训/S | 方法/S | 工具/S | 技术支持/S,6、培训其他方法、工具和技术支持多个应用。
1802-s0006,人工智能招聘,must_human_split,span_mismatch,监督/S | 生产系统/K | 改进计划/S,监督/S | 生产系统/K | 改进/S,监督/S | 改进计划/S | 发展/S,7、监督生产系统的改进计划和发展。
1802-s0007,人工智能招聘,must_human_split,span_mismatch,系统管理/S | 虚拟化/K | VMwareESX/S | OpenVZ/S | KVM/S | 脚本语言/K | BashShell/S | Python/S | Web服务器/K | Apache/S | Tomcat/S | 监测/S | Zabbix/S | 基础设施自动化/S | chef/S | Jekins/S,系统管理/S | 虚拟化/K | VMwareESX服务器/S | OpenVZ/S | KVM/S | BashShell/S | Python/S | Apache/S | Tomcat/S | Zabbix/S | 基础设施自动化/S | chef/S | Jekins/S,系统管理/S | 技术背景/K | 虚拟化/S | 技术背景/K | OpenVZ/S | KVM/S | 脚本语言/S | Python/S | Web服务器/S | Apache/S | Tomcat/S | 监测/S | Zabbix/S | 基础设施自动化/S | chef/S,岗位要求Musthava1、5年以上在一个环境下的高级系统管理的强大的技术背景2、虚拟化经验，较强的技术背景（VMwareESX服务器/OpenVZ、KVM）3、用脚本语言经验（BashShell或Python）4、Web服务器（Apache，Tomcat）经验5、经验与监测（Zabbix）6、基础设施自动化经验（chef，Jekins）。
1802-s0008,人工智能招聘,must_human_split,span_mismatch,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文读写能力/L | 沟通能力/T | 团队合作精神/T,网络管理/S | 网络工程/K | AWS/S | 组织性/T | 主动性/T | 英文/L | 沟通能力/T | 团队合作精神/T,网络管理/S | 网络工程/S | AWS/S | 组织性/T | 主动性/T | 英文读写能力/L | 沟通能力/T | 团队合作精神/T,nicetohave1、有网络管理或网络工程工作经验者优先2、与AWS工作经验者优先3、有组织性和主动性4、良好的英文读写能力5、优秀的沟通能力和团队合作精神项目简介:我们公司作为跨国企业InternetBrands中国唯一的离岸研发中心，已经合作了5年多，目前团队技术人员40人，随着合作的深入，计划今年新招20人。
1802-s0017,人工智能招聘,must_human_split,empty_mismatch,大数据/K | 云计算/K | 离岸研发/S | 智能硬件检测/S | 认证/S | 移动通讯终端/K | 测试/S | 评估/S,[],大数据/K | 云计算/K | 离岸研发/S | 智能硬件检测与认证/S | 移动通讯终端的测试和评估/S,公司致力于大数据和云计算的研究与服务，向全球客户提供离岸研发、智能硬件检测与认证、移动通讯终端的测试和评估等专业服务。
1803-s0000,人工智能招聘,must_human_split,span_mismatch,亚马逊PPC广告策略/S | 实施推进/S | 制定/S | 优化/S | 投放方案/S,策划/S | 亚马逊PPC广告/K | 实施/S | 优化/S | 投放方案/K,亚马逊PPC广告/S | 投放方案/S,岗位职责：1、负责策划亚马逊PPC广告策略并实施推进，结合公司产品制定并优化投放方案；
1803-s0001,人工智能招聘,must_human_split,span_mismatch,投放PPC广告/S | 监控/S | 分析/S,投放/S | PPC广告/K | 监控/S | 分析/S,PPC广告/S | 监控分析/S | 广告效果/S | 投资回报最大化/S,2、投放PPC广告并监控分析广告效果，提升广告有效性以达到投资回报最大化；
1803-s0002,人工智能招聘,must_human_split,span_mismatch,操作竞价/S | 扩展长尾关键字/S | 调整价格/S | 优化曝光/S | 转化率/K | Listing优化/S,操作竞价/S | 长尾关键字/K | 调整价格/S | 优化/S | Listing优化/S,竞价/S | 长尾关键字/S | 调整价格/S | 优化曝光/S | 转化率/S | Listing优化/S,3、独立操作竞价，如扩展长尾关键字，调整价格，优化曝光与转化率，并协助完成Listing优化；
1803-s0003,人工智能招聘,must_human_split,span_mismatch,品牌销售战略/K | 管理推广预算/S | Deals促销/S | 站内展示广告/S | 站外推广活动/S,管理推广预算/S,推广预算/S | Deals促销/S | 展示广告/S | 推广活动/S,4、结合公司品牌销售战略，有效管理推广预算，高效配合其他站内Deals促销、站内展示广告、以及其他站外推广活动；
1803-s0004,人工智能招聘,must_human_split,span_mismatch,广告数据/K | 全面分析/S | 优化建议/S | 优化广告投放效果/S,优化建议/S | 优化广告投放效果/S,广告数据/S | 全面分析/S | 优化建议/S | 广告投放效果/S,5、从各个维度对广告数据进行全面分析，根据分析结果给出优化建议，并不断优化广告投放效果。
1803-s0006,人工智能招聘,must_human_split,type_only,亚马逊PPC广告/S | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/S,亚马逊PPC广告/K | Google/S | Yahoo/S | Bing/S | 英文/L | SEM/K,亚马逊PPC广告/S | Google/S | Yahoo/S | Bing/S | 英文SEM/S,"2、一年以上亚马逊PPC广告工作经验，有Google,Yahoo,Bing等英文SEM工作经验者优先；"
1803-s0007,人工智能招聘,must_human_split,span_mismatch,数据变化敏感/T | 数据分析/S | 挖掘/S | Word/S | Excel/S | PPT/S,数据分析/S | Word/S | Excel/S | PPT/S,数据分析/S | Word/S | Excel/S | PPT/S | 办公软件/S,3、对数据变化敏感，较强的数据分析和挖掘经验，熟悉使用Word，Excel，PPT等办公软件；
1803-s0008,人工智能招聘,must_human_split,span_mismatch,思维敏捷/T | 抗压能力/T | 责任心/T | 学习能力/T | 语言沟通能力/T,抗压能力/T | 责任心/T | 学习能力/T | 沟通能力/T,思维敏捷/T | 抗压能力/T | 责任心/T | 学习能力/T | 沟通能力/T,4、思维敏捷有较强抗压能力，强烈的责任心和学习能力，优秀的语言沟通能力；
1804-s0001,人工智能招聘,must_human_split,empty_mismatch,技术功底/K | 热忱/T,[],技术功底/K | 研发/S,我们希望您以坚实的技术功底和对研发的热忱，与我们一起解决京东业务上的挑战。
1804-s0003,人工智能招聘,must_human_split,span_mismatch,大数据/K | 数据分析/S | 收益管理/K | 定价/S | 选品/S | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 电商领域/K | 统计优化模型/K,数据分析/S | 收益管理/K | 定价与选品/K | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 统计优化模型/K,数据分析/S | 收益管理/K | 定价/S | 选品/S | 促销优化/S | 用户行为分析/S | 物流库存优化/S | 客户服务水平/S | 统计优化模型/K,通过基于大数据的数据分析，我们将收益管理中的定价与选品、促销优化、用户行为分析、物流库存优化、客户服务水平等电商领域内的实际业务问题，转化为计算机可识别的统计优化模型来解决。
1804-s0004,人工智能招聘,must_human_split,empty_mismatch,OR方向/K,[],OR/K,我们团队在美国硅谷拥有实验室，并且与斯坦福大学OR方向的著名教授及团队有深入合作。
1804-s0005,人工智能招聘,must_human_split,span_mismatch,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 产品生命周期/K | 管理/S | 基础运算平台/S | 优化算法/K | 仿真算法/K,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 产品生命周期与管理/K | 供应链基础运算平台/S | 优化算法/K | 仿真算法/K,动态定价/S | 预测/S | 促销决策/S | 营销效果评估/S | 用户行为分析/S | 选择模型/K | 供应链基础运算平台/S | 优化算法/K | 仿真算法/K, 我们团队解决的问题包括动态定价、预测及促销决策、营销效果评估、 用户行为分析/选择模型，产品生命周期与管理等，我们的另一个重要的工作则是供应链基础运算平台的建设，包括常用优化算法与仿真算法的研究与应用。
1804-s0006,人工智能招聘,must_human_split,span_mismatch,动态定价模型搭建/S | 解决方案/S | 设计/S | 技术支持/S,动态定价模型/S | 理论与技术支持/S,动态定价模型搭建/S | 业务背景及需求/K | 技术支持/S, 工作职责： 1. 参与JD新一代动态定价模型搭建和具体问题解决方案的设计工作，和业务团队及产品经理合作了解业务背景及需求，并为其提供理论与技术支持。
1804-s0007,人工智能招聘,must_human_split,span_mismatch,机器学习相关技术/K | 海量数据/K | 处理/S | 分析/S | 建立模型/S | 挖掘/S | 分析关键因素/S | 优化定价/S,机器学习/K | 建立模型/S | 优化定价/S | 促销/S,机器学习/K | 分析/S | 建立模型/S | 分析关键因素/S | 优化定价/S | 促销/S, 2. 运用机器学习相关技术，对海量数据进行处理和分析，建立模型，挖掘相关信息与分析关键因素，为优化定价和促销相关产品提供数据基础。
1804-s0008,人工智能招聘,must_human_split,span_mismatch,大数据平台/S | 提取/S | 处理业务数据/S | 数据分析/S | 数据挖掘/S,大数据平台/K | 数据分析/S | 数据挖掘/S,大数据平台/S | 提取/S | 处理业务数据/S | 数据分析/S | 数据挖掘/S | 业务洞见/S, 3. 基于大数据平台，提取并处理业务数据，通过数据分析和数据挖掘，给出直观的结论及业务洞见。
1804-s0010,人工智能招聘,must_human_split,span_mismatch,数据挖掘/K | 机器强化学习/K | 优化仿真算法/K | 开发优化模型/S | 最优决策/S,数据挖掘/K | 强化学习/K | 优化仿真算法/K | 开发/S | 优化模型/K | 系统/S,数据挖掘/K | 机器强化学习/K | 优化仿真算法/K | 开发/S | 优化模型/K | 系统/S | 最优决策/S, 4. 跟进数据挖掘、机器强化学习、优化仿真算法相关技术的业界发展，并合理的运用到实际产品中， 开发优化模型和系统，给出最优决策。
1804-s0011,人工智能招聘,must_human_split,span_mismatch,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士学位/K,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K | 硕士/K | 博士/K,统计机器学习/K | 计算机/K | 自动化/K | 运筹优化/K | 应用数学/K, 职位要求： 1. 在统计机器学习/计算机/自动化//运筹优化/应用数学相关领域拥有硕士或博士学位。
1804-s0015,人工智能招聘,must_human_split,span_mismatch,独立研究/S | 工程资料/K | 建模/S,研究/S | 工程资料/K | 建模/S,研究学术与工程资料/S | 建模/S,可独立研究学术与工程资料，对实际业务问题建模。
1804-s0017,人工智能招聘,must_human_split,span_mismatch,统计语言/K | Python/S | 数据库/K | SQL/S,R/S | Python/S | 数据库/K | SQL/S,R/S | Python/S | SQL/S, 3. 熟悉统计语言，如R或Python，熟悉数据库及SQL。
