system,family,reference_length_bucket,n_reference_spans,n_predicted_spans_in_same_length_bucket,exact_tp,typed_exact_precision,typed_exact_recall,typed_exact_f1,relaxed_tp,typed_relaxed_precision,typed_relaxed_recall,typed_relaxed_f1,reference_conditioned_exact_recall,reference_conditioned_relaxed_recall,mean_predicted_span_length_all_predictions,metric_definition
JobBERT-zh 3M,Supervised encoder,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,2,369,501,152,0.3033932135728543,0.41192411924119243,0.34942528735632183,152,0.3033932135728543,0.41192411924119243,0.34942528735632183,0.41192411924119243,0.45257452574525747,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,3,257,250,118,0.472,0.4591439688715953,0.46548323471400394,118,0.472,0.4591439688715953,0.46548323471400394,0.4591439688715953,0.5758754863813229,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,4,1009,882,459,0.5204081632653061,0.45490584737363726,0.48545742993125335,459,0.5204081632653061,0.45490584737363726,0.48545742993125335,0.45490584737363726,0.5777998017839445,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,5,444,361,181,0.5013850415512465,0.40765765765765766,0.4496894409937888,181,0.5013850415512465,0.40765765765765766,0.4496894409937888,0.40765765765765766,0.5427927927927928,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,6,666,494,257,0.520242914979757,0.3858858858858859,0.44310344827586207,261,0.52834008097166,0.3918918918918919,0.45000000000000007,0.3858858858858859,0.5645645645645646,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,7,793,588,305,0.5187074829931972,0.38461538461538464,0.44170890658942796,323,0.5493197278911565,0.4073139974779319,0.4677769732078204,0.38461538461538464,0.5296343001261034,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 3M,Supervised encoder,8+,653,463,202,0.43628509719222464,0.3093415007656968,0.3620071684587814,220,0.47516198704103674,0.33690658499234305,0.39426523297491045,0.3093415007656968,0.5130168453292496,5.054604726976365,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,1,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,2,369,461,144,0.3123644251626898,0.3902439024390244,0.3469879518072289,144,0.3123644251626898,0.3902439024390244,0.3469879518072289,0.3902439024390244,0.44715447154471544,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,3,257,245,111,0.4530612244897959,0.43190661478599224,0.44223107569721115,111,0.4530612244897959,0.43190661478599224,0.44223107569721115,0.43190661478599224,0.5408560311284046,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,4,1009,874,451,0.5160183066361556,0.44697720515361744,0.47902283590015926,451,0.5160183066361556,0.44697720515361744,0.47902283590015926,0.44697720515361744,0.5807730426164519,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,5,444,337,175,0.5192878338278932,0.39414414414414417,0.44814340588988477,175,0.5192878338278932,0.39414414414414417,0.44814340588988477,0.39414414414414417,0.5427927927927928,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,6,666,505,252,0.499009900990099,0.3783783783783784,0.43040136635354403,255,0.504950495049505,0.38288288288288286,0.4355251921434671,0.3783783783783784,0.5765765765765766,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,7,793,572,302,0.527972027972028,0.38083228247162676,0.44249084249084253,317,0.5541958041958042,0.39974779319041615,0.4644688644688645,0.38083228247162676,0.5359394703656999,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
JobBERT-zh 1M,Supervised encoder,8+,653,517,210,0.40618955512572535,0.3215926493108729,0.358974358974359,233,0.4506769825918762,0.3568147013782542,0.39829059829059826,0.3215926493108729,0.5390505359877489,5.155305112699286,F1 buckets reference and prediction spans independently by token length; conditioned recall matches each reference bucket against all predictions
