id,domain,review_bucket,status,codex,doubao,kimi,sentence
1802-s0004,人工智能招聘,kimi_backs_doubao,span_mismatch,应用程序/K | 维护/S | 支持服务/S,维护/S | 支持服务/S,维护/S | 支持服务/S,5、负责多平台或关键应用程序的维护和支持服务。
1803-s0005,人工智能招聘,kimi_backs_doubao,span_mismatch,本科及以上学历/K | 大学英语6级/K | 购物搜索习惯/K,本科及以上学历/K | 大学英语6级/K | 欧美人购物搜索习惯/K,本科及以上学历/K | 大学英语6级/K | 欧美人购物搜索习惯/K,岗位要求：1、本科及以上学历，大学英语6级以上水平，熟悉欧美人购物搜索习惯，男女不限；
1804-s0009,人工智能招聘,kimi_backs_doubao,span_mismatch,开发机器学习模型/S | 算法/K | 预测/S | 用户行为模型/K,机器学习模型/K | 算法/K | 预测/S | 用户行为模型/K | 用户倾向/K | 市场竞争指数/K | 促销指标/K,机器学习模型/K | 算法/K | 预测/S | 用户行为模型/K | 用户倾向/K | 市场竞争指数/K | 促销指标/K,开发机器学习模型及算法来预测特定指标，如用户行为模型、用户倾向、市场竞争指数、促销指标等。
1804-s0018,人工智能招聘,kimi_backs_doubao,type_only,分布式/K | 大数据平台/S,分布式/K | 大数据平台/K,分布式/K | 大数据平台/K,基于分布式及大数据平台的优先考虑。
1805-s0003,人工智能招聘,kimi_backs_doubao,empty_mismatch,市场信息/K | 收集/S | 竞争对手/K | 分析/S,[],[], 4.负责市场信息的收集及竞争对手的分析；
1805-s0007,人工智能招聘,kimi_backs_doubao,span_mismatch,沟通/T | 应变/T | 协调/T | 服务意识/T | 表达能力/T | 销售技巧/S | 谈吐良好/T | 普通话/L,服务意识/T | 表达能力/T | 销售技巧/S | 普通话/L,服务意识/T | 表达能力/T | 销售技巧/S | 普通话/L, 3.具备良好的沟通，应变、协调、服务意识、表达能力和销售技巧，谈吐良好， 普通话标准流利；
1807-s0002,人工智能招聘,kimi_backs_doubao,empty_mismatch,填充/S | 审核/S | 平台内容/K,[],[], 3.负责填充和审核平台内容，解决在使用平台的过程中遇到的问题。
1808-s0004,人工智能招聘,kimi_backs_doubao,span_mismatch,JavaScript/S | HTML5/S | CSS3/S | DOM/S | BOM/S | AJAX/S | CSS 动画/S | 移动端浏览器/K | jQuery/S | Zepto/S | Lodash/S,JavaScript/S | HTML5/S | CSS3/S | DOM/S | BOM/S | AJAX/S | jQuery/S | Zepto/S | Lodash/S,JavaScript/S | HTML5/S | CSS3/S | DOM/S | BOM/S | AJAX/S | jQuery/S | Zepto/S | Lodash/S, 2、掌握JavaScript、HTML5、CSS3的核心技术，包括并不仅限于 DOM／BOM／AJAX／CSS 动画等，了解主流移动端浏览器等技术特点，知悉 jQuery／Zepto／Lodash 等主流工具库；
1808-s0005,人工智能招聘,kimi_backs_doubao,span_mismatch,前端主流框架/K | React/S | Vue/S | Angular/S,React/S | Vue/S | Angular/S,React/S | Vue/S | Angular/S, 3、了解前端主流框架，例如 React／Vue／Angular；
1809-s0005,人工智能招聘,kimi_backs_doubao,span_mismatch,理解能力/T | 沟通表达能力/T | 逻辑思维能力/T | 资源整合能力/T | 演讲提案能力/T | 团队协作能力/T,商业理解能力/T | 沟通表达能力/T | 逻辑思维能力/T | 资源整合能力/T | 演讲提案能力/T | 团队协作能力/T,商业理解能力/T | 沟通表达能力/T | 逻辑思维能力/T | 资源整合能力/T | 演讲提案能力/T | 团队协作能力/T, 2. 具备较强的技术及商业理解能力、沟通表达能力、逻辑思维能力、资源整合能力、演讲提案能力、团队协作能力；
1814-s0000,人工智能招聘,kimi_backs_doubao,empty_mismatch,口腔预防/K | 护理/S,[],[],某口腔医疗赛道上游公司，口腔修复材料及口腔数字化设备提供商，齿科行业智能医疗设备和器械生产高新技术企业，专注解决口腔健康问题，从口腔预防、口腔护理、口腔修复材料的研发到打造理想的数字化诊疗体验。
1814-s0009,人工智能招聘,kimi_backs_doubao,span_mismatch,3D打印/S,3D打印生产工艺/K | 氧化锆生产工艺/K,3D打印生产工艺/K | 氧化锆生产工艺/K, 2、熟悉3D打印生产工艺、氧化锆生产工艺等;
